af	net/minecraft/command/CommandFill
afa	net/minecraft/block/BlockBanner
afa$a	afa$BlockBannerStanding
afa$b	afa$BlockBannerHanging
afb	net/minecraft/block/BlockBarrier
afc	net/minecraft/block/BlockContainer
afd	net/minecraft/block/BlockBasePressurePlate
afe	net/minecraft/block/BlockRailBase
afe$a	afe$Rail
afe$b	afe$EnumRailDirection
aff	net/minecraft/block/BlockBeacon
afg	net/minecraft/block/BlockBed
afg$a	afg$EnumPartType
afh	net/minecraft/block/Block
afh$a	afh$EnumOffsetType
afh$b	afh$SoundType
afi	net/minecraft/init/Blocks
afj	net/minecraft/block/IGrowable
afk	net/minecraft/block/BlockBookshelf
afl	net/minecraft/block/BlockBrewingStand
afm	net/minecraft/block/BlockBush
afn	net/minecraft/block/BlockButton
afo	net/minecraft/block/BlockCactus
afp	net/minecraft/block/BlockCake
afq	net/minecraft/block/BlockCarrot
afr	net/minecraft/block/BlockCauldron
afs	net/minecraft/block/BlockChest
aft	net/minecraft/block/BlockClay
afu	net/minecraft/block/BlockCocoa
afv	net/minecraft/block/BlockColored
afw	net/minecraft/block/BlockCommandBlock
afx	net/minecraft/block/BlockRedstoneComparator
afx$a	afx$Mode
afy	net/minecraft/block/BlockWorkbench
afy$a	afy$InterfaceCraftingTable
afz	net/minecraft/block/BlockCrops
ag	net/minecraft/command/CommandDifficulty
aga	net/minecraft/block/BlockDaylightDetector
agb	net/minecraft/block/BlockDeadBush
agc	net/minecraft/block/BlockRailDetector
agd	net/minecraft/block/BlockRedstoneDiode
age	net/minecraft/block/BlockDirectional
agf	net/minecraft/block/BlockDirt
agf$a	agf$DirtType
agg	net/minecraft/block/BlockDispenser
agh	net/minecraft/block/BlockDoor
agh$a	agh$EnumDoorHalf
agh$b	agh$EnumHingePosition
agi	net/minecraft/block/BlockDoublePlant
agi$a	agi$EnumBlockHalf
agi$b	agi$EnumPlantType
agj	net/minecraft/block/BlockDragonEgg
agk	net/minecraft/block/BlockDropper
agl	net/minecraft/block/BlockDynamicLiquid
agm	net/minecraft/block/BlockEnchantmentTable
agn	net/minecraft/block/BlockEndPortal
ago	net/minecraft/block/BlockEndPortalFrame
agp	net/minecraft/block/BlockEnderChest
agq	net/minecraft/block/ITileEntityProvider
agr	net/minecraft/block/BlockFalling
ags	net/minecraft/block/BlockFarmland
agt	net/minecraft/block/BlockFence
agu	net/minecraft/block/BlockFenceGate
agv	net/minecraft/block/BlockFire
agw	net/minecraft/block/BlockFlower
agw$a	agw$EnumFlowerType
agw$b	agw$EnumFlowerColor
agx	net/minecraft/block/BlockFlowerPot
agx$a	agx$EnumFlowerType
agy	net/minecraft/block/BlockDoubleStoneSlabNew
agz	net/minecraft/block/BlockDoubleStoneSlab
ah	net/minecraft/command/CommandGameMode
aha	net/minecraft/block/BlockDoubleWoodSlab
ahb	net/minecraft/block/BlockFurnace
ahc	net/minecraft/block/BlockGlass
ahd	net/minecraft/block/BlockGlowstone
ahe	net/minecraft/block/BlockGrass
ahf	net/minecraft/block/BlockGravel
ahg	net/minecraft/block/BlockHalfStoneSlabNew
ahh	net/minecraft/block/BlockSlab
ahh$a	ahh$EnumBlockHalf
ahi	net/minecraft/block/BlockHalfStoneSlab
ahj	net/minecraft/block/BlockBreakable
ahk	net/minecraft/block/BlockHalfWoodSlab
ahl	net/minecraft/block/BlockHardenedClay
ahm	net/minecraft/block/BlockHay
ahn	net/minecraft/block/BlockHopper
aho	net/minecraft/block/BlockHugeMushroom
aho$a	aho$EnumType
ahp	net/minecraft/block/BlockIce
ahq	net/minecraft/block/BlockJukebox
ahq$a	ahq$TileEntityJukebox
ahr	net/minecraft/block/BlockLadder
ahs	net/minecraft/block/BlockLeaves
ahu	net/minecraft/block/BlockLever
ahu$a	ahu$EnumOrientation
ahv	net/minecraft/block/BlockLiquid
ahw	net/minecraft/block/BlockLog
ahw$a	ahw$EnumAxis
ahx	net/minecraft/block/BlockMelon
ahy	net/minecraft/block/BlockMobSpawner
ahz	net/minecraft/block/BlockSilverfish
ahz$a	ahz$EnumType
ai	net/minecraft/command/CommandGameRule
aia	net/minecraft/block/BlockMushroom
aib	net/minecraft/block/BlockMycelium
aic	net/minecraft/block/BlockNetherBrick
aid	net/minecraft/block/BlockNetherWart
aie	net/minecraft/block/BlockNetherrack
aif	net/minecraft/block/BlockNewLeaf
aig	net/minecraft/block/BlockNewLog
aih	net/minecraft/block/BlockStoneSlabNew
aih$a	aih$EnumType
aii	net/minecraft/block/BlockNote
aij	net/minecraft/block/BlockObsidian
aik	net/minecraft/block/BlockOldLeaf
ail	net/minecraft/block/BlockOldLog
aim	net/minecraft/block/BlockOre
ain	net/minecraft/block/BlockPackedIce
aio	net/minecraft/block/BlockPlanks
aio$a	aio$EnumType
aip	net/minecraft/block/BlockPortal
aip$a	aip$Size
aiq	net/minecraft/block/BlockPotato
air	net/minecraft/block/BlockCompressedPowered
ais	net/minecraft/block/BlockRailPowered
ait	net/minecraft/block/BlockPressurePlate
ait$a	ait$Sensitivity
aiu	net/minecraft/block/BlockPrismarine
aiu$a	aiu$EnumType
aiv	net/minecraft/block/BlockPumpkin
aiw	net/minecraft/block/BlockQuartz
aiw$a	aiw$EnumType
aix	net/minecraft/block/BlockRail
aiy	net/minecraft/block/BlockRedFlower
aiz	net/minecraft/block/BlockRedSandstone
aiz$a	aiz$EnumType
aj	net/minecraft/command/CommandGive
aja	net/minecraft/block/BlockRedstoneOre
ajb	net/minecraft/block/BlockRedstoneWire
ajb$a	ajb$EnumAttachPosition
ajc	net/minecraft/block/BlockRedstoneLight
ajd	net/minecraft/block/BlockRedstoneTorch
ajd$a	ajd$Toggle
aje	net/minecraft/block/BlockReed
ajf	net/minecraft/block/BlockRedstoneRepeater
ajg	net/minecraft/block/BlockRotatedPillar
ajh	net/minecraft/block/BlockSand
ajh$a	ajh$EnumType
aji	net/minecraft/block/BlockSandStone
aji$a	aji$EnumType
ajj	net/minecraft/block/BlockSapling
ajk	net/minecraft/block/BlockSeaLantern
ajl	net/minecraft/block/BlockSign
ajm	net/minecraft/block/BlockSkull
ajn	net/minecraft/block/BlockSlime
ajo	net/minecraft/block/BlockSnowBlock
ajp	net/minecraft/block/BlockSnow
ajq	net/minecraft/block/BlockSoulSand
ajr	net/minecraft/block/BlockSponge
ajs	net/minecraft/block/BlockStainedGlass
ajt	net/minecraft/block/BlockStainedGlassPane
aju	net/minecraft/block/BlockStairs
aju$a	aju$EnumHalf
aju$b	aju$EnumShape
ajv	net/minecraft/block/BlockStandingSign
ajw	net/minecraft/block/BlockStaticLiquid
ajx	net/minecraft/block/BlockStem
ajy	net/minecraft/block/BlockStone
ajy$a	ajy$EnumType
ajz	net/minecraft/block/BlockStoneBrick
ajz$a	ajz$EnumType
ak	net/minecraft/command/CommandHelp
aka	net/minecraft/block/BlockButtonStone
akb	net/minecraft/block/BlockStoneSlab
akb$a	akb$EnumType
akc	net/minecraft/block/BlockTallGrass
akc$a	akc$EnumType
akd	net/minecraft/block/BlockPane
ake	net/minecraft/block/BlockTNT
akf	net/minecraft/block/BlockTorch
akg	net/minecraft/block/BlockLeavesBase
akh	net/minecraft/block/BlockTrapDoor
akh$a	akh$DoorHalf
aki	net/minecraft/block/BlockTripWire
akj	net/minecraft/block/BlockTripWireHook
akk	net/minecraft/block/BlockVine
akl	net/minecraft/block/BlockWall
akl$a	akl$EnumType
akm	net/minecraft/block/BlockWallSign
akn	net/minecraft/block/BlockLilyPad
ako	net/minecraft/block/BlockWeb
akp	net/minecraft/block/BlockPressurePlateWeighted
akq	net/minecraft/block/BlockButtonWood
akr	net/minecraft/block/BlockWoodSlab
aks	net/minecraft/block/BlockCarpet
akt	net/minecraft/block/BlockYellowFlower
aku	net/minecraft/tileentity/TileEntityBanner
aku$a	aku$EnumBannerPattern
akv	net/minecraft/tileentity/TileEntityBeacon
akv$a	akv$BeamSegment
akw	net/minecraft/tileentity/TileEntity
akx	net/minecraft/tileentity/TileEntityBrewingStand
aky	net/minecraft/tileentity/TileEntityChest
akz	net/minecraft/tileentity/TileEntityCommandBlock
al	net/minecraft/command/CommandServerKick
ala	net/minecraft/tileentity/TileEntityComparator
alb	net/minecraft/tileentity/TileEntityDaylightDetector
alc	net/minecraft/tileentity/TileEntityDispenser
ald	net/minecraft/tileentity/TileEntityDropper
ale	net/minecraft/tileentity/TileEntityEnchantmentTable
alf	net/minecraft/tileentity/TileEntityEnderChest
alg	net/minecraft/tileentity/TileEntityFlowerPot
alh	net/minecraft/tileentity/TileEntityFurnace
ali	net/minecraft/tileentity/IHopper
alj	net/minecraft/tileentity/TileEntityHopper
alk	net/minecraft/tileentity/TileEntityLockable
all	net/minecraft/tileentity/TileEntityMobSpawner
alm	net/minecraft/tileentity/TileEntityNote
aln	net/minecraft/tileentity/TileEntitySign
alo	net/minecraft/tileentity/TileEntitySkull
alp	net/minecraft/tileentity/TileEntityEndPortal
als	net/minecraft/block/BlockPistonBase
alt	net/minecraft/block/BlockPistonExtension
alt$a	alt$EnumPistonType
alu	net/minecraft/tileentity/TileEntityPiston
alv	net/minecraft/block/BlockPistonMoving
alw	net/minecraft/block/state/BlockPistonStructureHelper
aly	net/minecraft/block/state/BlockStateBase
alz	net/minecraft/block/state/IBlockState
am	net/minecraft/command/CommandKill
ama	net/minecraft/block/state/BlockState
ama$a	ama$StateImplementation
amc	net/minecraft/block/state/BlockWorldState
amd	net/minecraft/block/state/pattern/BlockPattern
amd$a	amd$CacheLoader
amd$b	amd$PatternHelper
ame	net/minecraft/block/state/pattern/FactoryBlockPattern
amg	net/minecraft/block/state/pattern/BlockHelper
amh	net/minecraft/block/state/pattern/BlockStateHelper
amj	net/minecraft/block/properties/PropertyHelper
amk	net/minecraft/block/properties/PropertyBool
aml	net/minecraft/block/properties/PropertyDirection
amm	net/minecraft/block/properties/PropertyEnum
