src	old	fqn	score	cov	shared	sample
src/main/java/com/moonsworth/lunar/MixinHelperType2_4.java	MixinHelperType2_4	com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat	17.77	0.67	2	ip-address; utc-millisec
src/main/java/com/moonsworth/lunar/MixinHelper_10.java	MixinHelper_10	com.fasterxml.jackson.databind.deser.std.DateDeserializers	25.97	0.60	3	java.util.Calendar; java.util.Date; java.util.GregorianCalendar
src/main/java/com/moonsworth/lunar/Reader.java	Reader	com.fasterxml.jackson.dataformat.yaml.UTF8Reader	32.08	0.44	4	 (at char #; , at char #; Invalid UTF-8 middle byte 0x
src/main/java/com/moonsworth/lunar/Reader_2.java	Reader_2	com.fasterxml.jackson.core.io.UTF32Reader	43.74	0.56	5	 (above 0x%08x);  at char #; , at char #
src/main/java/com/moonsworth/lunar/SerializableBase22_4.java	SerializableBase22_4	com.fasterxml.jackson.databind.ser.BeanPropertyWriter	35.55	0.20	4	, no static serializer; , static serializer of type ; property '
src/main/java/com/moonsworth/lunar/SerializableBase2_7.java	SerializableBase2_7	com.fasterxml.jackson.databind.deser.SettableBeanProperty	67.00	0.42	8	 (no error message provided); ' (expected type: ; ' already had index (
src/main/java/com/moonsworth/lunar/SerializableImpl2.java	SerializableImpl2	com.fasterxml.jackson.core.JsonLocation	17.77	0.40	2	, column: ; byte offset: #
src/main/java/com/moonsworth/lunar/SerializableImpl2_5.java	SerializableImpl2_5	com.fasterxml.jackson.databind.type.TypeFactory	60.60	0.23	7	, problem: ; Class %s not a super-type of %s; Class %s not subtype of %s
src/main/java/com/moonsworth/lunar/SerializableImpl3_2.java	SerializableImpl3_2	com.fasterxml.jackson.databind.type.TypeParser	44.43	0.42	5	', expected ',' or '>'); ', problem: ; Cannot locate class '
src/main/java/com/moonsworth/lunar/SerializableImpl5.java	SerializableImpl5	com.fasterxml.jackson.databind.cfg.SerializerFactoryConfig	17.08	0.33	2	Cannot pass null Serializers; Cannot pass null modifier
src/main/java/com/moonsworth/lunar/SerializableImpl_5.java	SerializableImpl_5	com.fasterxml.jackson.databind.cfg.DeserializerFactoryConfig	25.97	0.38	3	Cannot pass null Deserializers; Cannot pass null modifier; Cannot pass null resolver
src/main/java/com/moonsworth/lunar/SerializableImpl_7.java	SerializableImpl_7	com.fasterxml.jackson.databind.deser.DeserializerCache	17.77	0.11	2	AnnotationIntrospector.; Null JavaType passed
src/main/java/com/moonsworth/lunar/SerializableImpl_9.java	SerializableImpl_9	com.fasterxml.jackson.databind.ext.OptionalHandlerFactory	78.19	0.36	9	, problem: (; Failed to create instance of `; Failed to find class `
src/main/java/com/moonsworth/lunar/SerializableIterator.java	SerializableIterator	com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap	53.32	0.43	6	' found, can't remove; ' found, can't replace; ' missing from _propsInOrder
src/main/java/com/moonsworth/lunar/SerializableLoader_3.java	SerializableLoader_3	com.fasterxml.jackson.databind.type.TypeBindings	35.55	0.40	4	 type parameter; ), types (; : class expects 
