owner	file	n_lazy
Clipboard	com/moonsworth/webosr/handler/Clipboard.java	1
FileSystem	com/moonsworth/webosr/handler/FileSystem.java	6
FunctionJS	com/moonsworth/webosr/handler/FunctionJS.java	1
Logger	com/moonsworth/webosr/handler/Logger.java	10
Modifiers	com/moonsworth/webosr/input/Modifiers.java	3
FunctionBus	com/moonsworth/webosr/javascript/FunctionBus.java	63
Browser	com/moonsworth/webosr/wrappers/Browser.java	96
NativeFuture	com/moonsworth/webosr/wrappers/NativeFuture.java	4
PlatformInterface	com/moonsworth/webosr/wrappers/PlatformInterface.java	4
PromiseJS	com/moonsworth/webosr/wrappers/PromiseJS.java	6
Session	com/moonsworth/webosr/wrappers/Session.java	1
WebEngine	com/moonsworth/webosr/wrappers/WebEngine.java	5
WebOSR	com/moonsworth/webosr/wrappers/WebOSR.java	1
ChildImageSource	com/moonsworth/webosr/wrappers/image/ChildImageSource.java	5
ImageSource	com/moonsworth/webosr/wrappers/image/ImageSource.java	4
TexturedImageSource	com/moonsworth/webosr/wrappers/image/TexturedImageSource.java	8
Block	net/minecraft/block/Block.java	6
BlockBasePressurePlate	net/minecraft/block/BlockBasePressurePlate.java	1
BlockButton	net/minecraft/block/BlockButton.java	1
BlockChest	net/minecraft/block/BlockChest.java	4
BlockCommandBlock	net/minecraft/block/BlockCommandBlock.java	1
BlockCrops	net/minecraft/block/BlockCrops.java	2
BlockDispenser	net/minecraft/block/BlockDispenser.java	4
BlockDoor	net/minecraft/block/BlockDoor.java	6
BlockFence	net/minecraft/block/BlockFence.java	6
