src	src_class	ref_fqn	score	margin	strings	members	sample
src/main/java/com/moonsworth/lunar/genesis/LocalCache$AbstractCacheSet.java	LocalCache$AbstractCacheSet	com.google.common.cache.LocalCache$AbstractCacheSet	32.46	15.03	0	17	AbstractSet; ConcurrentMap; LocalCache$AbstractCacheSet
src/main/java/com/moonsworth/lunar/genesis/LocalCache$LoadingValueReference.java	LocalCache$LoadingValueReference	com.google.common.cache.LocalCache$LoadingValueReference	99.54	28.06	0	41	BiFunction; ExecutionException; InterruptedException
src/main/java/com/moonsworth/lunar/genesis/LockBase.java	LockBase	com.google.common.util.concurrent.ForwardingLock	35.09	9.25	0	13	Condition; Lock; TimeUnit
src/main/java/com/moonsworth/lunar/genesis/LongMath$MillerRabinTester$1.java	LongMath$MillerRabinTester$1	com.google.common.math.LongMath$MillerRabinTester$1	18.82	5.00	0	4	LongMath$MillerRabinTester$1; com; mulMod
src/main/java/com/moonsworth/lunar/genesis/LongMath$MillerRabinTester$2.java	LongMath$MillerRabinTester$2	com.google.common.math.LongMath$MillerRabinTester$2	40.14	24.65	0	11	Long; LongMath$MillerRabinTester$2; Math
src/main/java/com/moonsworth/lunar/genesis/Longs$AsciiDigits.java	Longs$AsciiDigits	com.google.common.primitives.Longs$AsciiDigits	18.27	7.03	0	7	Arrays; Longs$AsciiDigits; com
src/main/java/com/moonsworth/lunar/genesis/Longs$LongConverter.java	Longs$LongConverter	com.google.common.primitives.Longs$LongConverter	44.23	24.23	1	14	Longs.stringConverter(); Long; Longs; Longs$LongConverter
src/main/java/com/moonsworth/lunar/genesis/MacHashFunction$MacHasher.java	MacHashFunction$MacHasher	com.google.common.hash.MacHashFunction$MacHasher	62.22	24.55	0	21	AbstractByteHasher; ByteBuffer; Hasher
src/main/java/com/moonsworth/lunar/genesis/MapDifference$ValueDifference.java	MapDifference$ValueDifference	com.google.common.collect.MapDifference$ValueDifference	51.34	13.61	1	19	Use Maps.difference; DoNotMock; MapDifference$ValueDifference; Maps
src/main/java/com/moonsworth/lunar/genesis/MapMakerInternalMap$InternalEntry.java	MapMakerInternalMap$InternalEntry	com.google.common.collect.MapMakerInternalMap$InternalEntry	15.25	5.00	0	5	MapMakerInternalMap$InternalEntry; com; getHash
src/main/java/com/moonsworth/lunar/genesis/MapMakerInternalMap$SafeToArraySet.java	MapMakerInternalMap$SafeToArraySet	com.google.common.collect.MapMakerInternalMap$SafeToArraySet	18.02	8.41	0	8	AbstractSet; MapMakerInternalMap$SafeToArraySet; Object
src/main/java/com/moonsworth/lunar/genesis/MapMakerInternalMap$Strength$1.java	MapMakerInternalMap$Strength$1	com.google.common.collect.MapMakerInternalMap$Strength$1	14.29	5.00	0	4	MapMakerInternalMap$Strength$1; Object; com
src/main/java/com/moonsworth/lunar/genesis/MapMakerInternalMap$Strength$2.java	MapMakerInternalMap$Strength$2	com.google.common.collect.MapMakerInternalMap$Strength$2	14.29	5.00	0	4	MapMakerInternalMap$Strength$2; Object; com
src/main/java/com/moonsworth/lunar/genesis/MapRetrievalCache$CacheEntry.java	MapRetrievalCache$CacheEntry	com.google.common.graph.MapRetrievalCache$CacheEntry	10.21	3.62	0	2	MapRetrievalCache$CacheEntry; com
src/main/java/com/moonsworth/lunar/genesis/Maps$Accumulator.java	Maps$Accumulator	com.google.common.collect.Maps$Accumulator	30.15	9.23	0	13	BinaryOperator; Enum; EnumMap
src/main/java/com/moonsworth/lunar/genesis/Maps$BiMapConverter.java	Maps$BiMapConverter	com.google.common.collect.Maps$BiMapConverter	65.86	32.84	1	27	Maps.asConverter(; BiMap; Maps; Maps$BiMapConverter
src/main/java/com/moonsworth/lunar/genesis/Maps$EntryTransformer.java	Maps$EntryTransformer	com.google.common.collect.Maps$EntryTransformer	21.94	7.82	0	9	FunctionalInterface; Maps$EntryTransformer; Nullable
src/main/java/com/moonsworth/lunar/genesis/Maps$NavigableAsMapView.java	Maps$NavigableAsMapView	com.google.common.collect.Maps$NavigableAsMapView	109.22	46.23	0	50	BiConsumer; Comparator; Entry
src/main/java/com/moonsworth/lunar/genesis/Maps$UnmodifiableBiMap.java	Maps$UnmodifiableBiMap	com.google.common.collect.Maps$UnmodifiableBiMap	50.81	17.77	0	25	BiMap; Collections; ForwardingMap
src/main/java/com/moonsworth/lunar/genesis/Maps$UnmodifiableEntries.java	Maps$UnmodifiableEntries	com.google.common.collect.Maps$UnmodifiableEntries	27.91	11.61	0	14	Collection; Entry; ForwardingCollection
src/main/java/com/moonsworth/lunar/genesis/MathPreconditions.java	MathPreconditions	com.google.common.math.MathPreconditions	138.25	91.66	4	39	 and rounding mode ; ) must be > 0; ArithmeticException; BigInteger; CanIgnoreReturnValue
