owner	file	n_lazy
CustomColorsBridgeImpl	com/moonsworth/lunar/legacy/optifine/wrapper/CustomColorsBridgeImpl.java	3
CustomItemsBridgeImpl	com/moonsworth/lunar/legacy/optifine/wrapper/CustomItemsBridgeImpl.java	1
IImageBufferLoader	com/moonsworth/lunar/legacy/optifine/wrapper/IImageBufferLoader.java	4
ShadersBridgeImpl	com/moonsworth/lunar/legacy/optifine/wrapper/ShadersBridgeImpl.java	2
Slayer3Handler	com/moonsworth/lunar/legacy/optifine/wrapper/Slayer3Handler.java	4
Slayer3Renderer	com/moonsworth/lunar/legacy/optifine/wrapper/Slayer3Renderer.java	7
Slayer3Renderer22	com/moonsworth/lunar/legacy/optifine/wrapper/Slayer3Renderer22.java	11
Slayer3Renderer222	com/moonsworth/lunar/legacy/optifine/wrapper/Slayer3Renderer222.java	3
Slayer3Renderer2222	com/moonsworth/lunar/legacy/optifine/wrapper/Slayer3Renderer2222.java	4
AbstractTextureImpl	com/moonsworth/lunar/legacy/wrapper/AbstractTextureImpl.java	9
AlcBridgeImpl	com/moonsworth/lunar/legacy/wrapper/AlcBridgeImpl.java	52
AudioStreamCache	com/moonsworth/lunar/legacy/wrapper/AudioStreamCache.java	12
BakedQuadBuilder	com/moonsworth/lunar/legacy/wrapper/BakedQuadBuilder.java	13
BlockBreakAnimPacketBuilder	com/moonsworth/lunar/legacy/wrapper/BlockBreakAnimPacketBuilder.java	3
BlocksBridgeImpl	com/moonsworth/lunar/legacy/wrapper/BlocksBridgeImpl.java	115
BorderTransition	com/moonsworth/lunar/legacy/wrapper/BorderTransition.java	1
Bridge18Handler	com/moonsworth/lunar/legacy/wrapper/Bridge18Handler.java	49
Bridge19Handler	com/moonsworth/lunar/legacy/wrapper/Bridge19Handler.java	11
Bridge19Task	com/moonsworth/lunar/legacy/wrapper/Bridge19Task.java	16
Bridge19Task2	com/moonsworth/lunar/legacy/wrapper/Bridge19Task2.java	3
Bridge20Iterator	com/moonsworth/lunar/legacy/wrapper/Bridge20Iterator.java	23
Bridge2Handler	com/moonsworth/lunar/legacy/wrapper/Bridge2Handler.java	5
Bridge2Handler_2	com/moonsworth/lunar/legacy/wrapper/Bridge2Handler_2.java	30
Bridge2Iterator	com/moonsworth/lunar/legacy/wrapper/Bridge2Iterator.java	103
Bridge3Iterator	com/moonsworth/lunar/legacy/wrapper/Bridge3Iterator.java	50
