owner	file	n_lazy
NicknameTransformerCache	com/moonsworth/lunar/client/framework/feature/nickhider/NicknameTransformerCache.java	4
ConsumerImpl	com/moonsworth/lunar/client/framework/feature/onesevenvisuals/ConsumerImpl.java	9
Onesevenvisuals	com/moonsworth/lunar/client/framework/feature/onesevenvisuals/Onesevenvisuals.java	22
Onesevenvisuals	com/moonsworth/lunar/client/framework/feature/onesevenvisuals/legacy/Onesevenvisuals.java	31
Modern	com/moonsworth/lunar/client/framework/feature/onesevenvisuals/modern/Modern.java	41
ConnectedTexturesListener	com/moonsworth/lunar/client/framework/feature/overlay/ConnectedTexturesListener.java	33
GlassTextureProcessor	com/moonsworth/lunar/client/framework/feature/overlay/GlassTextureProcessor.java	31
HudColorOverride	com/moonsworth/lunar/client/framework/feature/overlay/HudColorOverride.java	51
OreTextureProcessor	com/moonsworth/lunar/client/framework/feature/overlay/OreTextureProcessor.java	33
OverlayTextureProcessor	com/moonsworth/lunar/client/framework/feature/overlay/OverlayTextureProcessor.java	104
TextureAnimationCache	com/moonsworth/lunar/client/framework/feature/overlay/TextureAnimationCache.java	18
Pkg	com/moonsworth/lunar/client/framework/feature/pkg/Pkg.java	6
Pkg2	com/moonsworth/lunar/client/framework/feature/pkg/Pkg2.java	37
Pkg2_2	com/moonsworth/lunar/client/framework/feature/pkg/Pkg2_2.java	34
Pkg3$Data	com/moonsworth/lunar/client/framework/feature/pkg/Pkg3$Data.java	36
Pkg3$Type2	com/moonsworth/lunar/client/framework/feature/pkg/Pkg3$Type2.java	2
Pkg3	com/moonsworth/lunar/client/framework/feature/pkg/Pkg3.java	38
Pkg3_2	com/moonsworth/lunar/client/framework/feature/pkg/Pkg3_2.java	63
Pkg4	com/moonsworth/lunar/client/framework/feature/pkg/Pkg4.java	23
Pkg5	com/moonsworth/lunar/client/framework/feature/pkg/Pkg5.java	10
Pkg6	com/moonsworth/lunar/client/framework/feature/pkg/Pkg6.java	64
Pkg_2	com/moonsworth/lunar/client/framework/feature/pkg/Pkg_2.java	7
Pkg	com/moonsworth/lunar/client/framework/feature/pkg/mixin/Pkg.java	25
Pkg2	com/moonsworth/lunar/client/framework/feature/pkg/mixin/Pkg2.java	113
Pkg3	com/moonsworth/lunar/client/framework/feature/pkg/mixin/Pkg3.java	56
