owner	file	n_lazy
Attackindicator2Handler	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler.java	9
Attackindicator2Handler2	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler2.java	15
Attackindicator2Handler22	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler22.java	10
Attackindicator2Handler23	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler23.java	8
Attackindicator2Handler24	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler24.java	16
Attackindicator2Handler25	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler25.java	11
Attackindicator2Handler26	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler26.java	22
Attackindicator2Handler262	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler262.java	12
Attackindicator2Handler3	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler3.java	11
Attackindicator2Handler4	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler4.java	7
Attackindicator2Handler5	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler5.java	19
Attackindicator3	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator3.java	10
AutoTextAction	com/moonsworth/lunar/client/framework/feature/autotextactions/AutoTextAction.java	18
Lighting3Loader	com/moonsworth/lunar/client/framework/feature/autotextactions/Lighting3Loader.java	26
BlockOutlineMode	com/moonsworth/lunar/client/framework/feature/blockoutline/BlockOutlineMode.java	1
BlockOverlayMode	com/moonsworth/lunar/client/framework/feature/blockoutline/BlockOverlayMode.java	1
Blockoutline	com/moonsworth/lunar/client/framework/feature/blockoutline/Blockoutline.java	310
Gui2Extension	com/moonsworth/lunar/client/framework/feature/blockoutline/Gui2Extension.java	1
Gui2Extension2	com/moonsworth/lunar/client/framework/feature/blockoutline/Gui2Extension2.java	2
Chat	com/moonsworth/lunar/client/framework/feature/chat/Chat.java	66
Chat2	com/moonsworth/lunar/client/framework/feature/chat/Chat2.java	98
Chat3	com/moonsworth/lunar/client/framework/feature/chat/Chat3.java	26
Chat4	com/moonsworth/lunar/client/framework/feature/chat/Chat4.java	46
Chat5	com/moonsworth/lunar/client/framework/feature/chat/Chat5.java	64
ChatEmojiTransformer	com/moonsworth/lunar/client/framework/feature/chat/ChatEmojiTransformer.java	62
