# owner.fqn	M|F	old	new	evidence
com.moonsworth.lunar.client.markers.mixin.gui.mixin.Gui9	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.markers.mixin.gui.mixin.nameplate.Nameplate3	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate.Nameplate4	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate.Nameplate4	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.nameplate.Nameplate4	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.markers.mixin.gui.mixin.nameplate.Nameplate4	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.markers.mixin.gui.mixin.rewindhandlers.Rewindhandlers	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.EffectsJsApi	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.ExportSettingsJsApi	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.InputTimelineJsApi	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.RewindFileCallbacks	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.chest.RewindTimelineBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.click.RewindTimelinesListBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.colorsaturation.RewindPropertiesBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.highlight.MediaExporterJsApi	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.holograms.RewindEditorBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.replay.rewindhandlers.nameplate.RewindInteractionJsApi	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.network.MixinHelper3	M	method3	setChannels	access alignment: method3 renamed but a receiver on MixinHelper3 was not rewritten
com.moonsworth.lunar.client.mod.hud.Memory	M	method4	renderText	access alignment: method4 renamed but a receiver on Memory was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.click.Click	M	method1	refresh	access alignment: method1 renamed but a receiver on Click was not rewritten
com.moonsworth.lunar.client.render.GpuResourceTracker	M	method11	isTrackingEnabled	access alignment: method11 renamed but a receiver on GpuResourceTracker was not rewritten
com.moonsworth.lunar.client.render.GpuResourceTracker	M	method9	dumpOffHeapAllocations	access alignment: method9 renamed but a receiver on GpuResourceTracker was not rewritten
com.moonsworth.lunar.client.mod.hud.F3ModuleChildMod	M	method21	getShowEmpty	access alignment: method21 renamed but a receiver on F3ModuleChildMod was not rewritten
com.moonsworth.lunar.network.MixinHelper	M	method3	setWidth	access alignment: method3 renamed but a receiver on MixinHelper was not rewritten
com.moonsworth.lunar.network.MixinHelper	M	method4	height	access alignment: method4 renamed but a receiver on MixinHelper was not rewritten
com.moonsworth.lunar.network.MixinHelper5	M	method4	name	access alignment: method4 renamed but a receiver on MixinHelper5 was not rewritten
com.moonsworth.lunar.network.MixinHelper5	M	method5	ip	access alignment: method5 renamed but a receiver on MixinHelper5 was not rewritten
com.moonsworth.lunar.network.NetworkIterator6	M	method4	data	access alignment: method4 renamed but a receiver on NetworkIterator6 was not rewritten
com.moonsworth.lunar.network.MixinHelper27	M	method11	fastRewind	access alignment: method11 renamed but a receiver on MixinHelper27 was not rewritten
com.moonsworth.lunar.network.NetworkIterator5	M	method4	data	access alignment: method4 renamed but a receiver on NetworkIterator5 was not rewritten
com.moonsworth.lunar.network.MixinHelper164	M	method4	subType	access alignment: method4 renamed but a receiver on MixinHelper164 was not rewritten
com.moonsworth.lunar.network.MixinHelper3	M	method4	frequency	access alignment: method4 renamed but a receiver on MixinHelper3 was not rewritten
com.moonsworth.lunar.network.MixinHelper22	M	method8	path	access alignment: method8 renamed but a receiver on MixinHelper22 was not rewritten
com.moonsworth.lunar.network.NetworkIterator2	M	method4	data	access alignment: method4 renamed but a receiver on NetworkIterator2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.GuiIterator	M	method2	refresh	access alignment: method2 renamed but a receiver on GuiIterator was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers2	M	method2	computeWaveform	access alignment: method2 renamed but a receiver on Rewindhandlers2 was not rewritten
com.moonsworth.lunar.network.MixinHelper25	M	method4	interactionType	access alignment: method4 renamed but a receiver on MixinHelper25 was not rewritten
com.moonsworth.lunar.client.mod.hud.ItemCounterElementChildMod	M	method13	refresh	access alignment: method13 renamed but a receiver on ItemCounterElementChildMod was not rewritten
com.moonsworth.lunar.client.mod.hud.ItemCounter	M	method13	getChildScale	access alignment: method13 renamed but a receiver on ItemCounter was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers2	M	method14	advanceTime	access alignment: method14 renamed but a receiver on Rewindhandlers2 was not rewritten
com.moonsworth.lunar.client.profile.ModProfile	M	method2	isDefaultProfile	access alignment: method2 renamed but a receiver on ModProfile was not rewritten
com.moonsworth.lunar.client.profile.importer.BadlionProfileConverter	M	method2	convert	access alignment: method2 renamed but a receiver on BadlionProfileConverter was not rewritten
com.moonsworth.lunar.client.profile.importer.FeatherProfileImporter	M	method7	clampAllOptions	access alignment: method7 renamed but a receiver on FeatherProfileImporter was not rewritten
com.moonsworth.lunar.client.profile.importer.FeatherProfileConverter	M	method3	convert	access alignment: method3 renamed but a receiver on FeatherProfileConverter was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method2	canPropagateEdit	access alignment: method2 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method7	selectLayer	access alignment: method7 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method4	addTrack	access alignment: method4 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method9	moveLayer	access alignment: method9 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method11	moveLayers	access alignment: method11 renamed but a receiver on Chest2 was not rewritten
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method13	setShowKeyframes	access alignment: method13 renamed but a receiver on Chest2 was not rewritten
