owner	file	n_lazy
BoxEdgeConsumer	com/moonsworth/lunar/bridge/world/BoxEdgeConsumer.java	6
DifficultyBridge	com/moonsworth/lunar/bridge/world/DifficultyBridge.java	3
EquippableComponentBridge	com/moonsworth/lunar/bridge/world/EquippableComponentBridge.java	1
GameTypeBridge	com/moonsworth/lunar/bridge/world/GameTypeBridge.java	4
LevelData	com/moonsworth/lunar/bridge/world/LevelData.java	25
MapDataBridge	com/moonsworth/lunar/bridge/world/MapDataBridge.java	1
MapDecorationBridge	com/moonsworth/lunar/bridge/world/MapDecorationBridge.java	3
MapDecorationType	com/moonsworth/lunar/bridge/world/MapDecorationType.java	2
PathNodeType	com/moonsworth/lunar/bridge/world/PathNodeType.java	1
WorldBorderBridge	com/moonsworth/lunar/bridge/world/WorldBorderBridge.java	8
ChunkBridge	com/moonsworth/lunar/bridge/world/mixin/ChunkBridge.java	6
MixinHelper	com/moonsworth/lunar/bridgeimpl/mixin/MixinHelper.java	6
ApolloButtonContent	com/moonsworth/lunar/client/ApolloButtonContent.java	14
ApolloTypeRegistry	com/moonsworth/lunar/client/ApolloTypeRegistry.java	1
AutoTextHotkeyApolloHandler	com/moonsworth/lunar/client/AutoTextHotkeyApolloHandler.java	2
Autotexthotkey	com/moonsworth/lunar/client/Autotexthotkey.java	22
Badge	com/moonsworth/lunar/client/Badge.java	16
BeamApolloHandler	com/moonsworth/lunar/client/BeamApolloHandler.java	6
Client	com/moonsworth/lunar/client/Client.java	260
ColoredFireApolloHandler	com/moonsworth/lunar/client/ColoredFireApolloHandler.java	10
CombatApolloHandler	com/moonsworth/lunar/client/CombatApolloHandler.java	2
CooldownApolloHandler	com/moonsworth/lunar/client/CooldownApolloHandler.java	10
EntityApolloHandler	com/moonsworth/lunar/client/EntityApolloHandler.java	17
EventHandlerEntry	com/moonsworth/lunar/client/EventHandlerEntry.java	5
FogHandler2	com/moonsworth/lunar/client/FogHandler2.java	105
