owner	file	n_lazy
LwjglRelocationTransform	com/moonsworth/lunar/client/framework/transform/LwjglRelocationTransform.java	6
NewInstanceFactoryTransform	com/moonsworth/lunar/client/framework/transform/NewInstanceFactoryTransform.java	7
PreMixinTransform	com/moonsworth/lunar/client/framework/transform/PreMixinTransform.java	2
RandomRewriteTransform	com/moonsworth/lunar/client/framework/transform/RandomRewriteTransform.java	8
Highlight3Handler	com/moonsworth/lunar/client/freelook/Highlight3Handler.java	28
Glintcolorizer$Data	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer$Data.java	27
Glintcolorizer$Data2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer$Data2.java	27
Glintcolorizer	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer.java	1
Glintcolorizer2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2.java	27
Glintcolorizer2Base	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base.java	67
Glintcolorizer2Base2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base2.java	16
Glintcolorizer2Base2_2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base2_2.java	13
Glintcolorizer2Base2_3	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base2_3.java	8
Glintcolorizer2Base3	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base3.java	8
Glintcolorizer2Base3_2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base3_2.java	2
Glintcolorizer2Base4	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base4.java	3
Glintcolorizer2Base42	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base42.java	3
Glintcolorizer2Base42_2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base42_2.java	3
Glintcolorizer2Base42_3	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base42_3.java	3
Glintcolorizer2Base43	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base43.java	3
Glintcolorizer2Base43_2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base43_2.java	3
Glintcolorizer2Base43_3	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base43_3.java	3
Glintcolorizer2Base44	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base44.java	3
Glintcolorizer2Base44_2	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base44_2.java	4
Glintcolorizer2Base44_3	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer2Base44_3.java	3
