owner	file	n_lazy
EventEntityRemove	com/moonsworth/lunar/client/event/fishing/EventEntityRemove.java	2
EventEntitySpawn	com/moonsworth/lunar/client/event/fishing/EventEntitySpawn.java	2
EventEntityStatus	com/moonsworth/lunar/client/event/fishing/EventEntityStatus.java	5
EventEyeHeight	com/moonsworth/lunar/client/event/fishing/EventEyeHeight.java	7
EventFog	com/moonsworth/lunar/client/event/fishing/EventFog.java	48
EventGameModeChange	com/moonsworth/lunar/client/event/fishing/EventGameModeChange.java	4
EventItemDrop	com/moonsworth/lunar/client/event/fishing/EventItemDrop.java	2
EventItemPickup	com/moonsworth/lunar/client/event/fishing/EventItemPickup.java	4
EventItemUse	com/moonsworth/lunar/client/event/fishing/EventItemUse.java	4
EventItemUseFinish	com/moonsworth/lunar/client/event/fishing/EventItemUseFinish.java	4
EventLivingEntityBase	com/moonsworth/lunar/client/event/fishing/EventLivingEntityBase.java	6
EventMouseMove	com/moonsworth/lunar/client/event/fishing/EventMouseMove.java	10
EventOtherPlayerDamage	com/moonsworth/lunar/client/event/fishing/EventOtherPlayerDamage.java	7
EventPlayerDeath	com/moonsworth/lunar/client/event/fishing/EventPlayerDeath.java	2
EventPlayerJoinWorld	com/moonsworth/lunar/client/event/fishing/EventPlayerJoinWorld.java	2
EventPlayerKnockback	com/moonsworth/lunar/client/event/fishing/EventPlayerKnockback.java	2
EventPlayerReceiveDamage	com/moonsworth/lunar/client/event/fishing/EventPlayerReceiveDamage.java	4
EventPlayerRemove	com/moonsworth/lunar/client/event/fishing/EventPlayerRemove.java	2
EventPlayerSleep	com/moonsworth/lunar/client/event/fishing/EventPlayerSleep.java	8
EventPotionThrow	com/moonsworth/lunar/client/event/fishing/EventPotionThrow.java	4
EventPreAttackEntity	com/moonsworth/lunar/client/event/fishing/EventPreAttackEntity.java	8
EventPreRenderPlayer	com/moonsworth/lunar/client/event/fishing/EventPreRenderPlayer.java	30
EventProjectileBase	com/moonsworth/lunar/client/event/fishing/EventProjectileBase.java	6
EventRenderEntityModel	com/moonsworth/lunar/client/event/fishing/EventRenderEntityModel.java	2
EventRenderPlayerModel	com/moonsworth/lunar/client/event/fishing/EventRenderPlayerModel.java	9
