owner	file	n_lazy
HologramRenderer	com/moonsworth/lunar/client/driver/core/holograms/HologramRenderer.java	63
HologramSubject	com/moonsworth/lunar/client/driver/core/holograms/HologramSubject.java	1
EmoteHologram	com/moonsworth/lunar/client/driver/core/holograms/mixin/EmoteHologram.java	49
HologramCameraPreset	com/moonsworth/lunar/client/driver/core/holograms/mixin/HologramCameraPreset.java	5
HologramEntry	com/moonsworth/lunar/client/driver/core/holograms/mixin/HologramEntry.java	5
HologramSkin	com/moonsworth/lunar/client/driver/core/holograms/mixin/HologramSkin.java	2
LockerContext	com/moonsworth/lunar/client/driver/core/nameplate/LockerContext.java	6
LockerSection	com/moonsworth/lunar/client/driver/core/nameplate/LockerSection.java	1
MinimapViewContext	com/moonsworth/lunar/client/driver/core/rewindhandlers/MinimapViewContext.java	18
AbstractDataProvider	com/moonsworth/lunar/client/driver/gui/AbstractDataProvider.java	2
AnalyticsDataProvider	com/moonsworth/lunar/client/driver/gui/AnalyticsDataProvider.java	4
FeatureDataProvider	com/moonsworth/lunar/client/driver/gui/FeatureDataProvider.java	3
MarkersDataProvider	com/moonsworth/lunar/client/driver/gui/MarkersDataProvider.java	3
ModsBridge	com/moonsworth/lunar/client/driver/gui/ModsBridge.java	1
ScreenshotUploadBridge	com/moonsworth/lunar/client/driver/gui/ScreenshotUploadBridge.java	18
CosmeticHighlightRenderer	com/moonsworth/lunar/client/driver/holograms/CosmeticHighlightRenderer.java	81
CosmeticHighlightShader	com/moonsworth/lunar/client/driver/holograms/CosmeticHighlightShader.java	11
CosmeticHologram	com/moonsworth/lunar/client/driver/holograms/CosmeticHologram.java	26
HologramsIterator	com/moonsworth/lunar/client/driver/holograms/HologramsIterator.java	60
HoverModel	com/moonsworth/lunar/client/driver/holograms/HoverModel.java	11
MarkerModelRenderer	com/moonsworth/lunar/client/driver/holograms/MarkerModelRenderer.java	5
PositionQuad	com/moonsworth/lunar/client/driver/nameplate/PositionQuad.java	21
ComponentCharCallback	com/moonsworth/lunar/client/driver/nameplate/mixin/ComponentCharCallback.java	2
ComponentCursorCallback	com/moonsworth/lunar/client/driver/nameplate/mixin/ComponentCursorCallback.java	2
ComponentDropCallback	com/moonsworth/lunar/client/driver/nameplate/mixin/ComponentDropCallback.java	1
