owner	file	n_lazy
PacketMixin	com/moonsworth/lunar/legacy/mixin/PacketMixin.java	1
Packet_v1_7Mixin	com/moonsworth/lunar/legacy/mixin/Packet_v1_7Mixin.java	6
PlayerCapabilitiesMixin	com/moonsworth/lunar/legacy/mixin/PlayerCapabilitiesMixin.java	2
PlayerControllerMPMixin	com/moonsworth/lunar/legacy/mixin/PlayerControllerMPMixin.java	56
PlayerControllerMPMixin2	com/moonsworth/lunar/legacy/mixin/PlayerControllerMPMixin2.java	76
PlayerItemsLayerMixin	com/moonsworth/lunar/legacy/mixin/PlayerItemsLayerMixin.java	2
PlayerProfileCacheMixin	com/moonsworth/lunar/legacy/mixin/PlayerProfileCacheMixin.java	1
PositionedSoundMixin	com/moonsworth/lunar/legacy/mixin/PositionedSoundMixin.java	2
PotionEffectMixin2	com/moonsworth/lunar/legacy/mixin/PotionEffectMixin2.java	5
PotionEffectNullFixMixin	com/moonsworth/lunar/legacy/mixin/PotionEffectNullFixMixin.java	2
ReflectorClassMixin	com/moonsworth/lunar/legacy/mixin/ReflectorClassMixin.java	2
ReflectorMethodMixin	com/moonsworth/lunar/legacy/mixin/ReflectorMethodMixin.java	2
RenderChunkMixin	com/moonsworth/lunar/legacy/mixin/RenderChunkMixin.java	5
RenderEntityItemMixin	com/moonsworth/lunar/legacy/mixin/RenderEntityItemMixin.java	18
RenderEntityItemMixin2	com/moonsworth/lunar/legacy/mixin/RenderEntityItemMixin2.java	9
RenderEntityItemPhysicsMixin	com/moonsworth/lunar/legacy/mixin/RenderEntityItemPhysicsMixin.java	5
RenderFish_v1_7Mixin	com/moonsworth/lunar/legacy/mixin/RenderFish_v1_7Mixin.java	54
RenderGlobalEntityOutlineMixin	com/moonsworth/lunar/legacy/mixin/RenderGlobalEntityOutlineMixin.java	41
RenderGlobalFlawlessMixin	com/moonsworth/lunar/legacy/mixin/RenderGlobalFlawlessMixin.java	4
RenderGlobalMixin	com/moonsworth/lunar/legacy/mixin/RenderGlobalMixin.java	49
RenderGlobalMixin2	com/moonsworth/lunar/legacy/mixin/RenderGlobalMixin2.java	92
RenderGlobalMixin3	com/moonsworth/lunar/legacy/mixin/RenderGlobalMixin3.java	19
RenderGuardianMixin	com/moonsworth/lunar/legacy/mixin/RenderGuardianMixin.java	5
RenderItemBridgeMixin	com/moonsworth/lunar/legacy/mixin/RenderItemBridgeMixin.java	1
RenderItemMixin	com/moonsworth/lunar/legacy/mixin/RenderItemMixin.java	94
