owner	file	n_lazy
ReplayModFieldWideningHook	com/moonsworth/lunar/ichor/ReplayModFieldWideningHook.java	1
ReplayModMappingHook	com/moonsworth/lunar/ichor/ReplayModMappingHook.java	1
ResourceCacheKey	com/moonsworth/lunar/ichor/ResourceCacheKey.java	4
ResourceLookup	com/moonsworth/lunar/ichor/ResourceLookup.java	2
ResourcePayload	com/moonsworth/lunar/ichor/ResourcePayload.java	5
ResourceTransformInvoker	com/moonsworth/lunar/ichor/ResourceTransformInvoker.java	5
SmuggleHideHook	com/moonsworth/lunar/ichor/SmuggleHideHook.java	4
SmuggleHideStageHook	com/moonsworth/lunar/ichor/SmuggleHideStageHook.java	1
SmuggleRestoreHook	com/moonsworth/lunar/ichor/SmuggleRestoreHook.java	4
SmuggleRestoreStageHook	com/moonsworth/lunar/ichor/SmuggleRestoreStageHook.java	1
StageClassLoaderKey	com/moonsworth/lunar/ichor/StageClassLoaderKey.java	4
StubConstructorInjector	com/moonsworth/lunar/ichor/StubConstructorInjector.java	11
StubRemovalHook	com/moonsworth/lunar/ichor/StubRemovalHook.java	2
SyntheticClassRenameHook	com/moonsworth/lunar/ichor/SyntheticClassRenameHook.java	5
ThreadClassLoaderKey	com/moonsworth/lunar/ichor/ThreadClassLoaderKey.java	4
URLClassLoader	com/moonsworth/lunar/ichor/URLClassLoader.java	141
IchorAPI	com/moonsworth/lunar/ichor/api/IchorAPI.java	2
IchorAPI2	com/moonsworth/lunar/ichor/api/IchorAPI2.java	9
IchorAPI3	com/moonsworth/lunar/ichor/api/IchorAPI3.java	3
IchorClassLoader	com/moonsworth/lunar/ichor/api/IchorClassLoader.java	7
IchorExclusionFilter	com/moonsworth/lunar/ichor/api/IchorExclusionFilter.java	2
ArrayElementSignature	com/moonsworth/lunar/ichor/mixin/ArrayElementSignature.java	5
ArrayTypeSignature	com/moonsworth/lunar/ichor/mixin/ArrayTypeSignature.java	3
ClassSignature	com/moonsworth/lunar/ichor/mixin/ClassSignature.java	8
ClassTypeSignature	com/moonsworth/lunar/ichor/mixin/ClassTypeSignature.java	2
