src	src_class	ref_fqn	score	margin	strings	members	sample
src/main/java/com/moonsworth/lunar/MixinHelper8$Data4.java	MixinHelper8$Data4	com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers$ByteDeser	67.23	28.33	0	29	Arrays; Binary; Boolean
src/main/java/com/moonsworth/lunar/MixinHelper8$Data5.java	MixinHelper8$Data5	com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers$BooleanDeser	36.18	10.31	0	16	Arrays; Boolean; END_ARRAY
src/main/java/com/moonsworth/lunar/MixinHelper8$Data6.java	MixinHelper8$Data6	com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers$CharDeser	60.34	20.54	0	30	Arrays; Boolean; CharSequence
src/main/java/com/moonsworth/lunar/MixinHelper8_3.java	MixinHelper8_3	com.fasterxml.jackson.databind.ext.NioPathDeserializer	81.94	52.37	0	33	Character; Exception; File
src/main/java/com/moonsworth/lunar/MixinHelper8_4.java	MixinHelper8_4	com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers	77.36	55.56	4	21	java.util.; java.util.Arrays$; Arrays; Class; Collection
src/main/java/com/moonsworth/lunar/MixinHelper8_5.java	MixinHelper8_5	com.fasterxml.jackson.databind.ser.BeanSerializerBuilder	79.33	44.69	0	37	CAN_OVERRIDE_ACCESS_MODIFIERS; Collections; IllegalArgumentException
src/main/java/com/moonsworth/lunar/MixinHelper8_7.java	MixinHelper8_7	com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers	75.57	21.53	0	32	ACCEPT_SINGLE_VALUE_AS_ARRAY; Array; Boolean
src/main/java/com/moonsworth/lunar/MixinHelper9.java	MixinHelper9	com.fasterxml.jackson.databind.ser.std.ReferenceTypeSerializer	132.08	59.03	0	41	Class; DYNAMIC; NON_EMPTY
src/main/java/com/moonsworth/lunar/MixinHelper92.java	MixinHelper92	org.openapitools.jackson.nullable.JsonNullableSerializer	60.30	20.40	0	19	MixinHelper2622; MixinHelper2_13; MixinHelper3122_2
src/main/java/com/moonsworth/lunar/MixinHelper9_11.java	MixinHelper9_11	com.fasterxml.jackson.databind.ser.impl.SimpleFilterProvider	72.06	41.23	2	31	No filter configured with id '; Unrecognized filter type (; Access; Deprecated; Entry
src/main/java/com/moonsworth/lunar/MixinHelper9_2.java	MixinHelper9_2	org.openapitools.jackson.nullable.JsonNullableDeserializer	37.35	17.68	0	12	Boolean; MixinHelper33_2; MixinHelper3_2
src/main/java/com/moonsworth/lunar/MixinHelper9_7.java	MixinHelper9_7	com.fasterxml.jackson.databind.ext.DOMSerializer	190.41	94.91	1	67	omit-xml-declaration; Could; DOM; DOMSerializer
src/main/java/com/moonsworth/lunar/MixinHelper9_9.java	MixinHelper9_9	org.openapitools.jackson.nullable.JsonNullableDeserializer	17.12	6.52	0	7	MixinHelper53; MixinHelperType2_2; String
