owner	file	n_lazy
ChatController	net/minecraft/client/stream/ChatController.java	1
TwitchStream	net/minecraft/client/stream/TwitchStream.java	2
JsonBlendingMode	net/minecraft/client/util/JsonBlendingMode.java	3
CommandBase	net/minecraft/command/CommandBase.java	8
CommandClone	net/minecraft/command/CommandClone.java	2
CommandCompare	net/minecraft/command/CommandCompare.java	4
CommandDebug	net/minecraft/command/CommandDebug.java	1
CommandExecuteAt	net/minecraft/command/CommandExecuteAt.java	1
CommandHandler	net/minecraft/command/CommandHandler.java	1
CommandParticle	net/minecraft/command/CommandParticle.java	3
CommandResultStats	net/minecraft/command/CommandResultStats.java	1
CommandXP	net/minecraft/command/CommandXP.java	1
PlayerSelector	net/minecraft/command/PlayerSelector.java	6
ServerCommandManager	net/minecraft/command/ServerCommandManager.java	4
CommandAchievement	net/minecraft/command/server/CommandAchievement.java	3
CommandSaveAll	net/minecraft/command/server/CommandSaveAll.java	1
CommandSummon	net/minecraft/command/server/CommandSummon.java	1
CrashReport	net/minecraft/crash/CrashReport.java	1
CrashReportCategory	net/minecraft/crash/CrashReportCategory.java	4
Entity	net/minecraft/entity/Entity.java	2
EntityLivingBase	net/minecraft/entity/EntityLivingBase.java	2
EntityMinecartCommandBlock	net/minecraft/entity/EntityMinecartCommandBlock.java	1
EntityTrackerEntry	net/minecraft/entity/EntityTrackerEntry.java	2
RandomPositionGenerator	net/minecraft/entity/ai/RandomPositionGenerator.java	3
EntityDragon	net/minecraft/entity/boss/EntityDragon.java	2
