owner	file	n_lazy
HighlightImpl20	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl20.java	4
HighlightImpl21	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl21.java	6
HighlightImpl22	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl22.java	3
HighlightImpl23	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl23.java	6
HighlightImpl2_2	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl2_2.java	3
HighlightImpl3	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl3.java	9
HighlightImpl4	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl4.java	3
HighlightImpl4_2	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl4_2.java	3
HighlightImpl5	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl5.java	7
HighlightImpl5_2	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl5_2.java	10
HighlightImpl6_2	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl6_2.java	4
HighlightImpl7	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl7.java	9
HighlightImpl7_2	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl7_2.java	3
HighlightImpl8	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl8.java	3
HighlightImpl8_2	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl8_2.java	3
HighlightImpl9	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl9.java	37
HighlightImpl_2	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl_2.java	3
HighlightImpl	com/moonsworth/lunar/client/highlight/mixin/HighlightImpl.java	30
HighlightImpl2	com/moonsworth/lunar/client/highlight/mixin/HighlightImpl2.java	6
HighlightImpl3	com/moonsworth/lunar/client/highlight/mixin/HighlightImpl3.java	2
HighlightImpl4	com/moonsworth/lunar/client/highlight/mixin/HighlightImpl4.java	20
HighlightImpl5	com/moonsworth/lunar/client/highlight/mixin/HighlightImpl5.java	3
HighlightImpl6	com/moonsworth/lunar/client/highlight/mixin/HighlightImpl6.java	10
HighlightImpl7	com/moonsworth/lunar/client/highlight/mixin/HighlightImpl7.java	4
HighlightBase	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase.java	15
