owner	file	n_lazy
BiomeGenBaseMixin2	com/moonsworth/lunar/mixin/mixin/BiomeGenBaseMixin2.java	2
ChunkMixin	com/moonsworth/lunar/mixin/mixin/ChunkMixin.java	13
ChunkMixin2	com/moonsworth/lunar/mixin/mixin/ChunkMixin2.java	5
EntityClientPlayerMPMixin	com/moonsworth/lunar/mixin/mixin/EntityClientPlayerMPMixin.java	27
EntityFXMixin	com/moonsworth/lunar/mixin/mixin/EntityFXMixin.java	1
EntityPlayerSPMixin	com/moonsworth/lunar/mixin/mixin/EntityPlayerSPMixin.java	1
OpenGlHelperMixin	com/moonsworth/lunar/mixin/mixin/OpenGlHelperMixin.java	4
RenderBipedMixin	com/moonsworth/lunar/mixin/mixin/RenderBipedMixin.java	12
RendererLivingEntityMixin	com/moonsworth/lunar/mixin/mixin/RendererLivingEntityMixin.java	85
TessellatorMixin	com/moonsworth/lunar/mixin/mixin/TessellatorMixin.java	48
Vec4bMixin	com/moonsworth/lunar/mixin/mixin/Vec4bMixin.java	3
WorldBiomeMixin	com/moonsworth/lunar/mixin/mixin/WorldBiomeMixin.java	3
WorldMixin	com/moonsworth/lunar/mixin/mixin/WorldMixin.java	10
WorldMixin2	com/moonsworth/lunar/mixin/mixin/WorldMixin2.java	4
AbstractOpenApiSchema	com/moonsworth/lunar/network/AbstractOpenApiSchema.java	14
AnalyticsBatchEntry	com/moonsworth/lunar/network/AnalyticsBatchEntry.java	2
AnalyticsEnvironment	com/moonsworth/lunar/network/AnalyticsEnvironment.java	1
AnalyticsEvent	com/moonsworth/lunar/network/AnalyticsEvent.java	1
BaseGameEvent	com/moonsworth/lunar/network/BaseGameEvent.java	179
BaseGameEventGeoLocation	com/moonsworth/lunar/network/BaseGameEventGeoLocation.java	58
BaseGameEventInboundLocation	com/moonsworth/lunar/network/BaseGameEventInboundLocation.java	19
BaseGameEventInstalledModsInner	com/moonsworth/lunar/network/BaseGameEventInstalledModsInner.java	26
BaseGameEventLocation	com/moonsworth/lunar/network/BaseGameEventLocation.java	25
BaseGameEventLocationHostedWorld	com/moonsworth/lunar/network/BaseGameEventLocationHostedWorld.java	24
BaseGameEventLocationPublicServer	com/moonsworth/lunar/network/BaseGameEventLocationPublicServer.java	65
