package	n_classes	n_lazy	sample
com.moonsworth.lunar.client.click.rewindhandlers	3	1	Data,Object2ObjectOpenHashMapImpl,Rewindhandlers,Rewindhandlers2
com.moonsworth.lunar.client.config	1	0	FeatureFlag
com.moonsworth.lunar.client.config.migration	42	0	AutoTextActionsMigration,BedWarsHeightLimitMigration,BlockOutlineMigration,BossbarColorMigration,BossbarOffsetMigration,BossbarPositionMigration
com.moonsworth.lunar.client.config.option	52	0	AbstractNumberRule,AbstractOptionBuilder,AlertExtension,BakedOptionNode,BooleanOption,ByteNumberRange
com.moonsworth.lunar.client.config.option.trait	13	0	BuilderTraitType,Data,Lightoverlay,LightoverlayException,LightoverlayHandler,LightoverlayType
com.moonsworth.lunar.client.config.override	6	0	AlertCard,ChildContainer,InterceptHandler,OverrideSource,SettingIntercept,SettingOverride
com.moonsworth.lunar.client.coordinates	7	9	Coordinates,Coordinates2,Coordinates3,Coordinates4,Coordinates5,Data
com.moonsworth.lunar.client.coordinates.mixin	2	0	Coordinates,CoordinatesThread
com.moonsworth.lunar.client.cosmetics	7	0	BodywearCosmetic,CloakTextureSlicer,Cosmetic,CosmeticCategory,CosmeticSettings,CosmeticSlot
com.moonsworth.lunar.client.cosmetics.emote	29	0	BOBJMesh,BOBJModel,BipedModelRenderer,Builder,ConditionalOutfitEntry,ConditionalOutfitTree
com.moonsworth.lunar.client.cosmetics.holograms	11	0	BlockMorphRenderer,EmoteAnimator,EmoteDefinition,EmoteGiftProvider,EmoteMorphAnimator,IBoneRenderer
com.moonsworth.lunar.client.cosmetics.inactive	16	0	AnimationBuilderDeserializer,AnimationState,AnimationTicker,ArmorSlot,AttachedBone,CosmeticDefinitionMapper
com.moonsworth.lunar.client.cosmetics.inactive.gui	3	0	AnimationSelector,ConditionalAnimationSelector,ConditionalAnimationState,GuiHandler
com.moonsworth.lunar.client.cosmetics.inactive.mixin	4	0	CompanionCosmetic,GeckolibCosmeticManager,InactiveException,ItemCosmeticDefinition,MolangFunction
com.moonsworth.lunar.client.cosmetics.inactive.mixin.colorsaturation	3	0	ModelMatrixStack,TickConverter,VectorConverter
com.moonsworth.lunar.client.cosmetics.inactive.mixin.colorsaturation.mixin	2	0	AnimationJsonParser,AnimationKeyframeParser
com.moonsworth.lunar.client.cosmetics.inactive.mixin.fishing	12	0	AbstractTask,AbstractTimedTask,AttachToOwnerTask,FishingHandler,FishingType,InactiveTask
com.moonsworth.lunar.client.cosmetics.inactive.mixin.gui	6	0	AnimationControllerDefinition,AnimationControllerImpl,AnimationDefinition,AnimationEventImpl,AnimationStateConfig,AnimationTest
com.moonsworth.lunar.client.cosmetics.inactive.mixin.gui.mixin	6	0	AttackingAnimationController,IdleMoveController,LayeredAnimationController,MolangAnimationController,OccasionalAnimationController,SingleAnimationController
com.moonsworth.lunar.client.cosmetics.inactive.mixin.highlight	4	0	BoneQuery,EvaluatorIterator,MolangRuntime,QueryDefaults,QueryTransition
com.moonsworth.lunar.client.cosmetics.inactive.mixin.highlight.mixin	7	0	FunctionImpl,MolangAnimationState,MolangCheckBiome,MolangCheckBiomeCategory,MolangCheckSnowyBiome,MolangLightLevel
com.moonsworth.lunar.client.cosmetics.inactive.mixin.holograms	3	0	EmoteModel,EvaluatorImpl,InterpolationState,MolangResourceModel,RuntimeKey
com.moonsworth.lunar.client.cosmetics.inactive.mixin.holograms.mixin	3	0	BedrockAnimatedModel,ModelRenderState,ModelTextureProvider
com.moonsworth.lunar.client.cosmetics.inactive.mixin.nameplate	3	0	AnimationCache,AnimationFileLoader,ModelGeometryLoader,and
com.moonsworth.lunar.client.cosmetics.inactive.mixin.rewindhandlers.mixin	3	0	BoneHierarchyBuilder,BoneHierarchyNode,DefaultEdgeImpl
com.moonsworth.lunar.client.cosmetics.inactive.rewindhandlers	21	0	BedrockBone,BedrockGeometry,BedrockGeometryFile,BedrockModel,BoneHierarchySerializer,CubeMesh
com.moonsworth.lunar.client.cosmetics.molang	44	1	ChildScope,ConstantExpression,GeneratedClassLoader,MolangBuiltin,MolangBuiltinFunctions,MolangClassBuilder
com.moonsworth.lunar.client.cosmetics.molang.ast	1	0	ConstantEvaluatable
com.moonsworth.lunar.client.cosmetics.skin	16	0	BodyOverlayLayerRenderer,BodyPartSpec,CubeAxis,CubeDirection,CubeListBuilder,CustomizableCube
com.moonsworth.lunar.client.driver	21	0	ClipboardHandler,ComponentStyleData,Data,DriverBridge,DriverComponent,DriverContext
com.moonsworth.lunar.client.driver.core	4	0	DriverFieldType,DriverView,MarkerIconRenderer,UltralightConfigFactory
com.moonsworth.lunar.client.driver.core.gui	6	0	ButtonProvider,ButtonProviderGui,CachedJsonProvider,Data,DriverDataProvider,JsonProvider
com.moonsworth.lunar.client.driver.core.gui.mixin	28	0	AccountBridge,AlertBridge,BadgeBridge,ColorBridge,CosmeticPreviewBridge,HomeButtonBridge
com.moonsworth.lunar.client.driver.core.gui.mixin.nameplate	3	0	ConversationImageUploader,FriendApi,FriendsGuiExtension,PendingImage,and
com.moonsworth.lunar.client.driver.core.gui.mixin.rewindhandlers	4	0	MinimapJsApi,WaypointGroupBridge,WaypointImportJsApi,WaypointJsApi
com.moonsworth.lunar.client.driver.core.highlight	2	0	StorePrice,StorePriceEntry
com.moonsworth.lunar.client.driver.core.holograms	5	0	HologramBounds,HologramElement,HologramModelBridge,HologramRenderer,HologramSubject
com.moonsworth.lunar.client.driver.core.holograms.mixin	5	0	EmoteHologram,HologramCameraPreset,HologramEntry,HologramSkin,SkinOverride
com.moonsworth.lunar.client.driver.core.nameplate	2	0	LockerContext,LockerSection
com.moonsworth.lunar.client.driver.core.rewindhandlers	1	0	MinimapViewContext
com.moonsworth.lunar.client.driver.gui	6	0	AbstractDataProvider,AnalyticsDataProvider,Data,FeatureDataProvider,MarkersDataProvider,ModsBridge
com.moonsworth.lunar.client.driver.holograms	6	0	CosmeticHighlightRenderer,CosmeticHighlightShader,CosmeticHologram,HologramsIterator,HoverModel,MarkerModelRenderer
com.moonsworth.lunar.client.driver.nameplate	1	0	PositionQuad
com.moonsworth.lunar.client.driver.nameplate.mixin	8	0	ComponentCharCallback,ComponentCursorCallback,ComponentDropCallback,ComponentFocusCallback,ComponentKeyCallback,ComponentMouseButtonCallback
