cluster	package	n_classes	n_lazy
14	com.moonsworth.lunar.client.event.mixin.nameplate	3	0
14	com.moonsworth.lunar.client.event.mixin.rewindhandlers	6	0
14	com.moonsworth.lunar.client.feature	7	4
15	com.moonsworth.lunar.client.feature.mixin	1	0
15	com.moonsworth.lunar.client.fishing	5	2
15	com.moonsworth.lunar.client.fishing.gui.mixin	1	0
15	com.moonsworth.lunar.client.fishing.highlight	2	0
15	com.moonsworth.lunar.client.fishing.holograms	1	0
15	com.moonsworth.lunar.client.fishing.mixin	1	0
15	com.moonsworth.lunar.client.fishing.rewindhandlers	1	0
15	com.moonsworth.lunar.client.fog	14	4
16	com.moonsworth.lunar.client.fog.chest	2	1
16	com.moonsworth.lunar.client.fog.click	3	1
16	com.moonsworth.lunar.client.fog.click.mixin	1	0
16	com.moonsworth.lunar.client.fog.colorsaturation	2	0
16	com.moonsworth.lunar.client.fog.fishing	5	0
16	com.moonsworth.lunar.client.fog.gui	5	4
16	com.moonsworth.lunar.client.fog.highlight	2	1
16	com.moonsworth.lunar.client.fog.highlight.mixin	12	10
17	com.moonsworth.lunar.client.fog.holograms	85	59
17	com.moonsworth.lunar.client.fog.holograms.chest	5	1
17	com.moonsworth.lunar.client.fog.holograms.chest.mixin	1	0
17	com.moonsworth.lunar.client.fog.holograms.click	4	1
17	com.moonsworth.lunar.client.fog.holograms.colorsaturation	13	11
17	com.moonsworth.lunar.client.fog.holograms.colorsaturation.mixin	3	1
17	com.moonsworth.lunar.client.fog.holograms.coordinates	8	1
17	com.moonsworth.lunar.client.fog.holograms.fishing	3	2
18	com.moonsworth.lunar.client.fog.holograms.gui	7	6
18	com.moonsworth.lunar.client.fog.holograms.highlight	7	5
18	com.moonsworth.lunar.client.fog.holograms.highlight.mixin	3	1
18	com.moonsworth.lunar.client.fog.holograms.holograms	2	1
18	com.moonsworth.lunar.client.fog.holograms.mixin	8	6
18	com.moonsworth.lunar.client.fog.holograms.nameplate	17	12
18	com.moonsworth.lunar.client.fog.holograms.nameplate.mixin	1	0
18	com.moonsworth.lunar.client.fog.holograms.rewindhandlers	5	0
19	com.moonsworth.lunar.client.fog.mixin	1	0
19	com.moonsworth.lunar.client.fog.nameplate	2	0
19	com.moonsworth.lunar.client.fog.rewindhandlers	2	1
19	com.moonsworth.lunar.client.fov	62	23
19	com.moonsworth.lunar.client.fov.mixin	12	8
19	com.moonsworth.lunar.client.fov.mixin.nameplate	1	1
19	com.moonsworth.lunar.client.fov.mixin.rewindhandlers	3	2
19	com.moonsworth.lunar.client.fov.mixin.rewindhandlers.mixin	10	9
20	com.moonsworth.lunar.client.fov.nameplate	7	6
20	com.moonsworth.lunar.client.fps	46	28
20	com.moonsworth.lunar.client.fps.mixin	1	0
20	com.moonsworth.lunar.client.framework	112	25
20	com.moonsworth.lunar.client.framework.build	1	0
20	com.moonsworth.lunar.client.framework.combat	1	0
20	com.moonsworth.lunar.client.framework.crash	6	0
20	com.moonsworth.lunar.client.framework.feature	8	1
21	com.moonsworth.lunar.client.framework.feature.animations.customhelditems	4	0
21	com.moonsworth.lunar.client.framework.feature.armorstatus	5	0
21	com.moonsworth.lunar.client.framework.feature.armorstatus.armorstatusbarschild	2	1
21	com.moonsworth.lunar.client.framework.feature.armorstatus.hud	7	0
21	com.moonsworth.lunar.client.framework.feature.armorstatus.mixin	5	3
21	com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate	5	4
21	com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate.mixin	2	1
21	com.moonsworth.lunar.client.framework.feature.attackindicator	15	0
22	com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	14	2
22	com.moonsworth.lunar.client.framework.feature.autotextactions	2	0
22	com.moonsworth.lunar.client.framework.feature.blockoutline	5	1
22	com.moonsworth.lunar.client.framework.feature.chat	12	4
22	com.moonsworth.lunar.client.framework.feature.colorsaturation	2	0
22	com.moonsworth.lunar.client.framework.feature.cooldowns	6	0
22	com.moonsworth.lunar.client.framework.feature.cooldowns.mixin	2	1
22	com.moonsworth.lunar.client.framework.feature.coordinates	4	1
23	com.moonsworth.lunar.client.framework.feature.crosshair	10	2
23	com.moonsworth.lunar.client.framework.feature.crosshair.crosshairelytra	6	2
23	com.moonsworth.lunar.client.framework.feature.crosshair.mixin	5	3
23	com.moonsworth.lunar.client.framework.feature.debug	3	0
23	com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod	18	3
23	com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.mixin	10	3
23	com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.profilerdebugmod	20	5
23	com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.profilerdebugmod.mixin	2	0
24	com.moonsworth.lunar.client.framework.feature.debug.optimizationdebugmod	4	1
24	com.moonsworth.lunar.client.framework.feature.debug.shaderdebugmod	11	6
24	com.moonsworth.lunar.client.framework.feature.directionhud	6	2
24	com.moonsworth.lunar.client.framework.feature.f3display	22	0
24	com.moonsworth.lunar.client.framework.feature.f3display.chart	6	0
24	com.moonsworth.lunar.client.framework.feature.f3display.mixin	6	0
24	com.moonsworth.lunar.client.framework.feature.freelook	2	0
24	com.moonsworth.lunar.client.framework.feature.gui	5	4
25	com.moonsworth.lunar.client.framework.feature.heightlimit	6	3
25	com.moonsworth.lunar.client.framework.feature.hypixelbedwars	1	0
25	com.moonsworth.lunar.client.framework.feature.hypixelbedwars.bedwars	2	0
25	com.moonsworth.lunar.client.framework.feature.hypixelbedwars.mixin	4	1
25	com.moonsworth.lunar.client.framework.feature.inventorymod	2	0
25	com.moonsworth.lunar.client.framework.feature.inventorymod.mixin	2	1
25	com.moonsworth.lunar.client.framework.feature.inventorymod.slot.inventorysearch	3	1
25	com.moonsworth.lunar.client.framework.feature.itemcounter	10	4
26	com.moonsworth.lunar.client.framework.feature.itemcounter.mixin	2	0
26	com.moonsworth.lunar.client.framework.feature.itemphysics.mixin	1	0
26	com.moonsworth.lunar.client.framework.feature.itemtracker	2	0
26	com.moonsworth.lunar.client.framework.feature.keystrokes	62	23
26	com.moonsworth.lunar.client.framework.feature.keystrokes.mixin	2	1
26	com.moonsworth.lunar.client.framework.feature.killsounds	10	0
26	com.moonsworth.lunar.client.framework.feature.killsounds.mixin	6	3
26	com.moonsworth.lunar.client.framework.feature.knockbacktrainer	2	0
27	com.moonsworth.lunar.client.framework.feature.knockbacktrainer.mixin	1	0
27	com.moonsworth.lunar.client.framework.feature.lightoverlay	8	4
27	com.moonsworth.lunar.client.framework.feature.markers	67	19
27	com.moonsworth.lunar.client.framework.feature.markers.mixin	4	2
27	com.moonsworth.lunar.client.framework.feature.menublur	2	0
27	com.moonsworth.lunar.client.framework.feature.minimap	25	7
27	com.moonsworth.lunar.client.framework.feature.minimap.mixin	8	3
27	com.moonsworth.lunar.client.framework.feature.mobsize.mixin	2	0
28	com.moonsworth.lunar.client.framework.feature.mod	47	21
28	com.moonsworth.lunar.client.framework.feature.mod.debug	1	0
28	com.moonsworth.lunar.client.framework.feature.mod.debug.override	1	0
28	com.moonsworth.lunar.client.framework.feature.mod.debug.testcustomguioverlay	2	1
28	com.moonsworth.lunar.client.framework.feature.mod.fishing	71	12
28	com.moonsworth.lunar.client.framework.feature.mod.fishing.chest	4	0
28	com.moonsworth.lunar.client.framework.feature.mod.fishing.click	36	25
28	com.moonsworth.lunar.client.framework.feature.mod.fishing.colorsaturation	4	0
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.coordinates	4	0
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.coordinates.mixin	5	1
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.gui	50	23
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.gui.mixin	13	6
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight	11	4
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight.mixin	4	1
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	162	40
29	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	20	8
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.mixin	6	1
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	15	4
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.rewindhandlers	4	0
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.lotusfish	5	2
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.lotusfish.mixin	1	0
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.mixin	18	7
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.nameplate	2	0
30	com.moonsworth.lunar.client.framework.feature.mod.fishing.rewindhandlers	7	1
31	com.moonsworth.lunar.client.framework.feature.mod.gui	22	5
31	com.moonsworth.lunar.client.framework.feature.mod.gui.mixin	8	1
31	com.moonsworth.lunar.client.framework.feature.mod.gui.nameplate	6	3
