package	old	new	evidence
com.moonsworth.lunar.genesis	AbstractCollectionIterator57$Data2	ImmutableMapKeySet$KeySetSerializedForm	Guava 29.0-jre com/google/common/collect/ImmutableMapKeySet$KeySetSerializedForm (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionIterator6$Data	ImmutableMapValues$SerializedForm	Guava 29.0-jre com/google/common/collect/ImmutableMapValues$SerializedForm (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractExecutorServiceBase	AbstractListeningExecutorService	Guava 29.0-jre com/google/common/util/concurrent/AbstractListeningExecutorService (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapImpl	RemovalNotification	Guava 29.0-jre com/google/common/cache/RemovalNotification (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$2	LocalCache$2	Guava 29.0-jre com/google/common/cache/LocalCache$2 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Data24	LocalCache$AbstractCacheSet	Guava 29.0-jre com/google/common/cache/LocalCache$AbstractCacheSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Data32	LocalCache$LoadingValueReference	Guava 29.0-jre com/google/common/cache/LocalCache$LoadingValueReference (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Data44	LocalCache$StrongWriteEntry	Guava 29.0-jre com/google/common/cache/LocalCache$StrongWriteEntry (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Data51	MapMakerInternalMap$AbstractStrongKeyEntry	Guava 29.0-jre com/google/common/collect/MapMakerInternalMap$AbstractStrongKeyEntry (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Data53	MapMakerInternalMap$SafeToArraySet	Guava 29.0-jre com/google/common/collect/MapMakerInternalMap$SafeToArraySet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Extension	LocalCache$ValueReference	Guava 29.0-jre com/google/common/cache/LocalCache$ValueReference (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Extension4	MapMakerInternalMap$InternalEntry	Guava 29.0-jre com/google/common/collect/MapMakerInternalMap$InternalEntry (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Type5$1	MapMakerInternalMap$Strength$1	Guava 29.0-jre com/google/common/collect/MapMakerInternalMap$Strength$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader$Type5$2	MapMakerInternalMap$Strength$2	Guava 29.0-jre com/google/common/collect/MapMakerInternalMap$Strength$2 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractMapLoader2$Data	CompactHashMap$Itr	Guava 29.0-jre com/google/common/collect/CompactHashMap$Itr (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractQueueIterator$1	Platform$1	Guava 29.0-jre com/google/common/base/Platform$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractQueueIterator$Data2	MinMaxPriorityQueue$Builder	Guava 29.0-jre com/google/common/collect/MinMaxPriorityQueue$Builder (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractQueueIterator$Data3	MinMaxPriorityQueue$MoveDesc	Guava 29.0-jre com/google/common/collect/MinMaxPriorityQueue$MoveDesc (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractSetBase	MultiEdgesConnecting	Guava 29.0-jre com/google/common/graph/MultiEdgesConnecting (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractSetBase2	IncidentEdgeSet	Guava 29.0-jre com/google/common/graph/IncidentEdgeSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractSetImpl	EdgesConnecting	Guava 29.0-jre com/google/common/graph/EdgesConnecting (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractSetLoader	CompactHashSet	Guava 29.0-jre com/google/common/collect/CompactHashSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractSetLoader2	CompactLinkedHashSet	Guava 29.0-jre com/google/common/collect/CompactLinkedHashSet (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AccessibleObjectImpl	Element	Guava 29.0-jre com/google/common/reflect/Element (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AccessibleObjectImpl2$Data	Invokable$MethodInvokable	Guava 29.0-jre com/google/common/reflect/Invokable$MethodInvokable (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AccessibleObjectImpl2$Data2	Invokable$ConstructorInvokable	Guava 29.0-jre com/google/common/reflect/Invokable$ConstructorInvokable (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AnnotatedElementIterator	Parameter	Guava 29.0-jre com/google/common/reflect/Parameter (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Annotation4	Subscribe	Guava 29.0-jre com/google/common/eventbus/Subscribe (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Annotation_2	IgnoreJRERequirement	Guava 29.0-jre com/google/common/util/concurrent/IgnoreJRERequirement (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AtomicReferenceTask$1	Predicates$1	Guava 29.0-jre com/google/common/base/Predicates$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AtomicReferenceTask$Data	InterruptibleTask$DoNothingRunnable	Guava 29.0-jre com/google/common/util/concurrent/InterruptibleTask$DoNothingRunnable (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	BiPredicateLoader$1	AbstractNavigableMap$1	Guava 29.0-jre com/google/common/collect/AbstractNavigableMap$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	BiPredicateLoader$Data	Equivalence$EquivalentToPredicate	Guava 29.0-jre com/google/common/base/Equivalence$EquivalentToPredicate (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	BiPredicateLoader$Data2	Equivalence$Equals	Guava 29.0-jre com/google/common/base/Equivalence$Equals (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	BiPredicateLoader$Data3	Equivalence$Identity	Guava 29.0-jre com/google/common/base/Equivalence$Identity (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	BiPredicateLoader$Data4	Equivalence$Wrapper	Guava 29.0-jre com/google/common/base/Equivalence$Wrapper (coverage matcher score 1.000)
