count	file	class	tokens
450	com/moonsworth/lunar/client/mod/misc/SkyblockEndermanSlayer.java	SkyblockEndermanSlayer	arg,field,flag,method,number,text,value
448	com/moonsworth/lunar/forge/lib/MixinHelper74.java	MixinHelper74	field,method,number,obj,text
445	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/nameplate/Holograms4Updater.java	Holograms4Updater	arg,field,flag,method,number,text,value
444	com/moonsworth/lunar/forge/lib/MixinExtra10Loader6.java	MixinExtra10Loader6	field,flag,method,number,text,value
438	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer_2.java	Glintcolorizer_2	method,number,value
437	com/moonsworth/lunar/client/mod/hud/HypixelBedwarsUpgradeDisplayChild.java	HypixelBedwarsUpgradeDisplayChild	arg,field,flag,method,number,text,value
435	com/moonsworth/lunar/client/framework/feature/minimap/Minimap.java	Minimap	arg,field,flag,method,number,obj,value
433	com/moonsworth/lunar/client/mod/hud/Waila.java	Waila	arg,field,flag,method,number,obj,text,value
430	com/moonsworth/lunar/mixin/mixin/RendererLivingEntityMixin.java	RendererLivingEntityMixin	arg,field,flag,method,number,text,value
428	com/moonsworth/lunar/client/mod/combat/AttackIndicator.java	AttackIndicator	arg,field,flag,method,number,text,value
424	com/moonsworth/lunar/forge/lib/MixinHelper79.java	MixinHelper79	field,method,number,text,value
424	com/moonsworth/lunar/client/framework/feature/rewind/gui/ByteBufLoader.java	ByteBufLoader	field,flag,method,number,obj,text,value
411	com/moonsworth/lunar/client/mod/hud/SkyblockFarmingHud.java	SkyblockFarmingHud	arg,field,flag,method,number,text,value
407	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/rewindhandlersCore/RewindHandlers3Updater.java	RewindHandlers3Updater	arg,field,flag,method,number,obj,text,value
390	com/moonsworth/lunar/client/mod/render/ServerBorders.java	ServerBorders	field,flag,method,number,value
387	com/moonsworth/lunar/forge/lib/MixinShared3Loader.java	MixinShared3Loader	arg,field,flag,method,number,obj,text
383	com/moonsworth/lunar/forge/lib/guava/collect/Synchronized.java	Synchronized	flag,number,obj,value
