count	file	class	tokens
126	com/moonsworth/lunar/client/guiRewindhandlers/GuiRewindhandlersHandler23.java	GuiRewindhandlersHandler23	arg,field,method,number,text
125	com/moonsworth/lunar/legacy/wrapper/LegacyServerBorder.java	LegacyServerBorder	field,flag,method,number,text,value
125	com/moonsworth/lunar/forge/lib/guava/primitives/ImmutableDoubleArray.java	ImmutableDoubleArray	number,obj,value
125	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler2.java	WailaHandler2	field,flag,method,number,value
124	com/moonsworth/lunar/forge/lib/guava/collect/ImmutableMap.java	ImmutableMap	flag,number,obj,text,value
124	com/moonsworth/lunar/forge/lib/MixinHelper75.java	MixinHelper75	field,flag,method,number,text
124	com/moonsworth/lunar/client/killsounds/Killsounds15Impl5.java	Killsounds15Impl5	flag,method,obj,text
124	com/moonsworth/lunar/client/horsestats/FogIterator.java	FogIterator	arg,field,flag,method,number,text
124	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/nameplate/Nameplate2.java	Nameplate2	field,method,number,value
124	com/moonsworth/lunar/client/framework/feature/minimap/mixin/Minimap4.java	Minimap4	field,flag,method,number,value
124	com/moonsworth/lunar/client/fov/mixin/Fov2.java	Fov2	field,flag,method,number,value
123	com/moonsworth/lunar/forge/lib/guava/net/MediaType.java	MediaType	number,obj,text
123	com/moonsworth/lunar/client/framework/feature/mod/Module2.java	Module2	field,method,number,value
122	com/moonsworth/lunar/legacy/Bridge2Handler$1.java	Bridge2Handler$1	field
122	com/moonsworth/lunar/forge/lib/MixinMisc3Loader8.java	MixinMisc3Loader8	field,flag,method,number
122	com/moonsworth/lunar/forge/lib/ChecksumUpdater_2.java	ChecksumUpdater_2	field,method,number
122	com/moonsworth/lunar/bridge/Bridge2_32.java	Bridge2_32	method,number,value
121	com/moonsworth/lunar/genesis/MixinHelper2_11.java	MixinHelper2_11	field
121	com/moonsworth/lunar/forge/lib/MixinMisc5.java	MixinMisc5	field,flag,method,number
121	com/moonsworth/lunar/client/mod/render/Fog.java	Fog	arg,field,method,value
121	com/moonsworth/lunar/client/mod/player/SkyblockLockMouse.java	SkyblockLockMouse	field,flag,method,text,value
121	com/moonsworth/lunar/client/framework/feature/rewind/RewindIterator23.java	RewindIterator23	field,flag,method,number,text
121	com/moonsworth/lunar/client/coordinates/Coordinates5.java	Coordinates5	field,flag,method,number
120	net/minecraft/world/chunk/Chunk.java	Chunk	flag,i,j,k
120	net/minecraft/block/BlockLeaves.java	BlockLeaves	i,j,k
120	com/moonsworth/lunar/genesis/MixinHelper10_5.java	MixinHelper10_5	field,method,number,obj
120	com/moonsworth/lunar/client/mod/render/SkyblockFishingCircleOverlay.java	SkyblockFishingCircleOverlay	field,flag,method,number,text,value
120	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/nameplate/Nameplate4.java	Nameplate4	field,method,number,obj,value
120	com/moonsworth/lunar/client/framework/feature/minimap/Minimap2.java	Minimap2	arg,field,flag,method,number,text
119	com/moonsworth/lunar/legacy/wrapper/BlocksBridgeImpl.java	BlocksBridgeImpl	arg,method,number,text
119	com/moonsworth/lunar/forge/lib/guava/collect/ImmutableSortedSet.java	ImmutableSortedSet	flag,number,obj,value
119	com/moonsworth/lunar/forge/lib/MixinExtraHandler_2.java	MixinExtraHandler_2	field,method,number,obj,text
119	com/moonsworth/lunar/client/mod/misc/SkyblockVisitorBazaarHelper.java	SkyblockVisitorBazaarHelper	field,flag,method,number,text
119	com/moonsworth/lunar/client/mod/misc/ProfilerDebugMod.java	ProfilerDebugMod	arg,field,flag,method,text
118	com/moonsworth/lunar/forge/lib/MixinHelper_8.java	MixinHelper_8	field,method,number
118	com/moonsworth/lunar/client/mod/misc/SkyblockSimonSays.java	SkyblockSimonSays	field,flag,method,number
118	com/moonsworth/lunar/client/mod/misc/SkyblockFairySouls.java	SkyblockFairySouls	field,method,obj,text,value
118	com/moonsworth/lunar/client/markers/mixin/gui/mixin/GuiExtension11.java	GuiExtension11	arg,field,method,number,text
118	com/moonsworth/lunar/client/framework/feature/mod/MixinHelper2_2.java	MixinHelper2_2	field,method,number,text
117	com/moonsworth/lunar/genesis/MixinHelper28_2.java	MixinHelper28_2	field,method,number,obj,value
117	com/moonsworth/lunar/forge/lib/MixinMisc5Impl.java	MixinMisc5Impl	field,method,number
117	com/moonsworth/lunar/forge/lib/CloseableLoader_2.java	CloseableLoader_2	field,method,number
117	com/moonsworth/lunar/client/mod/render/Lighting.java	Lighting	arg,field,flag,method,text
117	com/moonsworth/lunar/client/itemcounter/Itemcounter.java	Itemcounter	field,method,text
117	com/moonsworth/lunar/client/holograms/Holograms6.java	Holograms6	arg,field,flag,method,number,value
117	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler4.java	WailaHandler4	field,method,number,value
117	com/moonsworth/lunar/client/framework/feature/scrollabletooltips/Scrollabletooltips2.java	Scrollabletooltips2	arg,field,flag,method,number,value
117	com/moonsworth/lunar/client/framework/feature/mod/impl/guiCore/Framework7Extension2.java	Framework7Extension2	field,flag,method,number,value
117	com/moonsworth/lunar/client/framework/feature/gui/GuiUpdater2.java	GuiUpdater2	field,flag,method,number,text,value
116	com/moonsworth/lunar/forge/lib/guava/collect/ImmutableMultimap.java	ImmutableMultimap	arg,number,obj,value
116	com/moonsworth/lunar/client/util/ThreadModuleDump70.java	ThreadModuleDump70	field,method,number,value
116	com/moonsworth/lunar/client/mod/misc/SkyblockSuperpairs.java	SkyblockSuperpairs	field,flag,method,number,text
116	com/moonsworth/lunar/client/framework/feature/mod/mixin/MixinHelper102.java	MixinHelper102	flag,method,text
116	com/moonsworth/lunar/client/framework/feature/crosshair/Crosshair2.java	Crosshair2	field,flag,method,number,text
115	com/moonsworth/lunar/legacy/wrapper/WorldBorderImpl.java	WorldBorderImpl	field,flag,method,number,text,value
115	com/moonsworth/lunar/genesis/SerializableImpl_4.java	SerializableImpl_4	field,flag,method,number,obj,text
115	com/moonsworth/lunar/forge/lib/guava/primitives/ImmutableLongArray.java	ImmutableLongArray	number,obj
115	com/moonsworth/lunar/forge/lib/guava/primitives/ImmutableIntArray.java	ImmutableIntArray	number,obj
115	com/moonsworth/lunar/forge/lib/MixinAltSerializer.java	MixinAltSerializer	field,method,number
115	com/moonsworth/lunar/client/util/Util_2.java	Util_2	arg,field,flag,method,number
115	com/moonsworth/lunar/client/mod/render/ShulkerPreview.java	ShulkerPreview	arg,field,method,number,value
115	com/moonsworth/lunar/client/markers/Highlight3Iterator.java	Highlight3Iterator	field,flag,method,number,text,value
115	com/moonsworth/lunar/client/framework/feature/markers/SIterator2.java	SIterator2	field,method,text
115	com/moonsworth/lunar/client/framework/feature/gui/Gui2.java	Gui2	field,method,number
115	com/moonsworth/lunar/bridge/BlocksBridge.java	BlocksBridge	method,number,text
114	com/moonsworth/lunar/forge/lib/guava/primitives/Booleans.java	Booleans	flag,number,obj,text
114	com/moonsworth/lunar/client/highlight/EventRenderTooltip.java	EventRenderTooltip	field,method,number,value
113	net/minecraft/client/gui/achievement/GuiAchievements.java	GuiAchievements	flag,i,j,k
113	com/moonsworth/lunar/forge/lib/MixinShared4.java	MixinShared4	field,method,number
113	com/moonsworth/lunar/forge/lib/MixinHelper78.java	MixinHelper78	field,flag,method,number,text
113	com/moonsworth/lunar/forge/lib/MixinHelper328.java	MixinHelper328	field,method,number,obj
113	com/moonsworth/lunar/client/mod/hud/SkyblockCaughtCrittersHud.java	SkyblockCaughtCrittersHud	field,flag,method,number,text
113	com/moonsworth/lunar/client/framework/feature/mod/fishing/click/Click10.java	Click10	field,method,number,text
112	com/moonsworth/lunar/forge/lib/guava/collect/ArrayTable.java	ArrayTable	number,obj,value
112	com/moonsworth/lunar/forge/lib/OutputStreamSerializer2_3.java	OutputStreamSerializer2_3	field,flag,method,number,text
112	com/moonsworth/lunar/client/markers/mixin/holograms/Holograms.java	Holograms	field,flag,method,number,text
112	com/moonsworth/lunar/client/inactive/rewindhandlers/Rewindhandlers6.java	Rewindhandlers6	field,flag,method,text,value
112	com/moonsworth/lunar/client/glintcolorizer/GlintcolorizerType_3.java	GlintcolorizerType_3	text,value
112	com/moonsworth/lunar/client/framework/feature/waypoints/mixin/rewindhandlers/Gui2Loader.java	Gui2Loader	arg,field,flag,method,number,text,value
112	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlersNameplate/RewindhandlersNameplate_2.java	RewindhandlersNameplate_2	field,method,number,value
112	com/moonsworth/lunar/client/framework/feature/mod/fishing/click/Click12.java	Click12	field,flag,method,number,text,value
111	com/moonsworth/lunar/client/util/ThreadModuleDump45.java	ThreadModuleDump45	field,flag,method,number
111	com/moonsworth/lunar/client/mod/render/Crosshair.java	Crosshair	arg,field,flag,method,number,text,value
111	com/moonsworth/lunar/client/mod/misc/SkyblockTpMaze.java	SkyblockTpMaze	field,flag,method,value
111	com/moonsworth/lunar/client/mod/hud/SkyblockVisitorShoppingListHud.java	SkyblockVisitorShoppingListHud	field,flag,method,number,text
111	com/moonsworth/lunar/client/framework/feature/rewind/nameplate/mixin/gui/Nameplate2Impl3.java	Nameplate2Impl3	field,flag,method,number,value
111	com/moonsworth/lunar/client/framework/feature/rewind/Rewind3.java	Rewind3	field,method,number,obj,text
111	com/moonsworth/lunar/client/framework/feature/mod/impl/click/storageoverlay/Storageoverlay.java	Storageoverlay	field,flag,method,number,text
111	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/Holograms3.java	Holograms3	arg,field,method,number,value
111	com/moonsworth/lunar/client/framework/feature/hypixelbedwars/mixin/Hypixelbedwars.java	Hypixelbedwars	field,method,number,text,value
111	com/moonsworth/lunar/client/framework/MixinCore5Handler4.java	MixinCore5Handler4	field,flag,method,text,value
110	net/minecraft/potion/PotionHelper.java	PotionHelper	flag,i,j,k
110	com/moonsworth/lunar/legacy/wrapper/Bridge5Handler.java	Bridge5Handler	field,method,number,obj,text
110	com/moonsworth/lunar/legacy/mixin/EntityFootStepFXMixin.java	EntityFootStepFXMixin	method,value
110	com/moonsworth/lunar/genesis/MixinHelper_15.java	MixinHelper_15	number,obj,text
110	com/moonsworth/lunar/forge/lib/guava/collect/Iterators.java	Iterators	flag,number,obj,value
110	com/moonsworth/lunar/forge/lib/guava/base/Strings.java	Strings	number,obj,text
110	com/moonsworth/lunar/forge/lib/MixinMisc3Loader10.java	MixinMisc3Loader10	field,method,number,obj
110	com/moonsworth/lunar/forge/lib/MixinExtra6$Data.java	MixinExtra6$Data	field,flag,method,number
110	com/moonsworth/lunar/forge/lib/CloseableSerializer_2.java	CloseableSerializer_2	field,method,number
110	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl9.java	HighlightImpl9	field,method,number,value
110	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/nameplate/Nameplate2_2.java	Nameplate2_2	arg,field,method,number,text
110	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/Rewindhandlers2_4.java	Rewindhandlers2_4	field,flag,method,number,text
110	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/Holograms5.java	Holograms5	field,flag,method,value
110	com/moonsworth/lunar/client/framework/feature/mod/fishing/click/Click5.java	Click5	field,method,number,value
110	com/moonsworth/lunar/client/fov/FovHandler.java	FovHandler	field,method,number,text
110	com/moonsworth/lunar/bridge/TextBridge.java	TextBridge	method,number,text
109	com/moonsworth/lunar/legacy/wrapper/GuiScreenImpl.java	GuiScreenImpl	field,flag,method,number,value
109	com/moonsworth/lunar/forge/lib/MixinExtra4_2.java	MixinExtra4_2	field,flag,method,number,text
109	com/moonsworth/lunar/client/mod/hud/SkyblockSkillProgressHud.java	SkyblockSkillProgressHud	field,flag,method,number,text,value
109	com/moonsworth/lunar/client/fov/Fov5_2.java	Fov5_2	arg,field,method,number,value
108	com/moonsworth/lunar/legacy/wrapper/Bridge2Iterator.java	Bridge2Iterator	arg,method,number,text
108	com/moonsworth/lunar/client/mod/misc/CompanionDebug.java	CompanionDebug	field,flag,method,text
108	com/moonsworth/lunar/client/mod/hud/SkyblockDianaMobHud.java	SkyblockDianaMobHud	field,flag,method,text,value
108	com/moonsworth/lunar/client/killsounds/Killsounds15Iterator2.java	Killsounds15Iterator2	arg,flag,method,obj,text,value
108	com/moonsworth/lunar/client/framework/feature/titles/Titles2.java	Titles2	field,flag,method,number,obj,value
107	com/moonsworth/lunar/forge/lib/guava/collect/Ordering.java	Ordering	number,obj,value
107	com/moonsworth/lunar/forge/lib/MixinCommon2.java	MixinCommon2	field,flag,method,text
107	com/moonsworth/lunar/client/framework/feature/waypoints/Gui2Loader.java	Gui2Loader	field,flag,method,number,text
107	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/rewindhandlersCore/RewindHandlers3Impl2.java	RewindHandlers3Impl2	arg,field,flag,method,number,value
107	com/moonsworth/lunar/client/framework/feature/mod/holograms/highlight/GuiRewindhandlersHandler23.java	GuiRewindhandlersHandler23	arg,field,method,number,text
107	com/moonsworth/lunar/client/framework/feature/markers/SIterator_2.java	SIterator_2	method,text
107	com/moonsworth/lunar/client/framework/feature/chat/Chat.java	Chat	field,flag,method,number,text
106	net/minecraft/world/biome/BiomeGenMesa.java	BiomeGenMesa	flag,i,j,k
106	com/moonsworth/lunar/forge/lib/guava/primitives/UnsignedBytes.java	UnsignedBytes	field,number,obj,text
106	com/moonsworth/lunar/forge/lib/OutputStreamSerializer2.java	OutputStreamSerializer2	field,method,number,text
106	com/moonsworth/lunar/forge/lib/OutputStreamBase5.java	OutputStreamBase5	field,flag,method,number
106	com/moonsworth/lunar/files/mixin/Files4.java	Files4	field,method,number,obj,text
106	com/moonsworth/lunar/client/util/Coordinates.java	Coordinates	arg,field,method,number,text,value
106	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/Holograms2.java	Holograms2	field,method,number,text,value
106	com/moonsworth/lunar/client/framework/feature/debug/shaderdebugmod/Shaderdebugmod5.java	Shaderdebugmod5	arg,flag,method,number,text
105	com/moonsworth/lunar/client/mod/render/ItemPhysics.java	ItemPhysics	field,flag,method,value
105	com/moonsworth/lunar/client/mod/misc/Replaymod.java	Replaymod	arg,field,method
105	com/moonsworth/lunar/client/framework/feature/rewind/highlight/Highlight3.java	Highlight3	arg,field,method,number,text
105	com/moonsworth/lunar/client/framework/feature/mod/MixinHelper27.java	MixinHelper27	field,flag,method,number,text,value
104	net/minecraft/client/gui/GuiPlayerTabOverlay.java	GuiPlayerTabOverlay	flag,i,j,k
104	com/moonsworth/lunar/ichor/MixinMisc3$Data3.java	MixinMisc3$Data3	field,method,text
104	com/moonsworth/lunar/genesis/MixinHelper11_5.java	MixinHelper11_5	field,number,text
104	com/moonsworth/lunar/client/util/AnnotationSpec.java	AnnotationSpec	field,flag,method,number,obj,text
104	com/moonsworth/lunar/client/mod/misc/SkyblockStackingEnchants.java	SkyblockStackingEnchants	arg,field,method,number,text
104	com/moonsworth/lunar/client/mod/hud/SkyblockTerracottaTimer.java	SkyblockTerracottaTimer	arg,field,flag,method,number,obj,text,value
104	com/moonsworth/lunar/client/framework/feature/tiertagger/rewindhandlers/Tiertagger6Iterator.java	Tiertagger6Iterator	arg,field,method,number,text
104	com/moonsworth/lunar/client/framework/feature/onesevenvisuals/legacy/Onesevenvisuals.java	Onesevenvisuals	method,number,value
103	net/minecraft/world/gen/feature/WorldGenLakes.java	WorldGenLakes	flag,i,j,k
103	net/minecraft/client/renderer/RenderGlobal.java	RenderGlobal	flag,i,j,k
103	net/minecraft/client/renderer/EntityRenderer.java	EntityRenderer	i,j,k
103	com/moonsworth/lunar/replaymod/forge/v1_8/mixin/EventRegistrationsHandler.java	EventRegistrationsHandler	arg,field,flag,method,number
103	com/moonsworth/lunar/genesis/IterableIterator.java	IterableIterator	field,method,number,obj,value
103	com/moonsworth/lunar/forge/lib/guava/collect/Tables.java	Tables	arg,obj,value
103	com/moonsworth/lunar/client/mod/misc/SkyblockCriticalDungeonTeammate.java	SkyblockCriticalDungeonTeammate	field,method,text
103	com/moonsworth/lunar/client/mod/combat/KnockbackStats.java	KnockbackStats	field,method,text
103	com/moonsworth/lunar/client/markers/mixin/gui/mixin/GuiExtension10.java	GuiExtension10	field,flag,method,value
103	com/moonsworth/lunar/client/framework/nameplate/Alert2Iterator.java	Alert2Iterator	arg,field,flag,method,text
103	com/moonsworth/lunar/client/framework/feature/rewind/nameplate/Fishing2Iterator.java	Fishing2Iterator	field,flag,method,number,text
103	com/moonsworth/lunar/client/framework/feature/quickplay/mixin/Bridge7Iterator2.java	Bridge7Iterator2	field,method,number,text,value
103	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/nameplate/Nameplate.java	Nameplate	method,number,text,value
102	com/moonsworth/lunar/ichor/util/FatalIchorError4.java	FatalIchorError4	field,flag,method,number,obj,text,value
102	com/moonsworth/lunar/files/mixin/Files3.java	Files3	field,method,number,obj,text
102	com/moonsworth/lunar/client/mod/render/SkyblockEnchantDisplay.java	SkyblockEnchantDisplay	field,flag,method,number,text,value
102	com/moonsworth/lunar/client/mod/misc/SkyblockKuudraAlerts.java	SkyblockKuudraAlerts	field,flag,method,number,text,value
102	com/moonsworth/lunar/client/framework/feature/debug/fpsdebugmod/profilerdebugmod/Profilerdebugmod.java	Profilerdebugmod	arg,field,method,number,text
102	com/moonsworth/lunar/bridge/Bridge2_21.java	Bridge2_21	method,number,text
102	com/moonsworth/lunar/bridge/Bridge2Handler_2.java	Bridge2Handler_2	field,flag,method,number,obj,text
101	com/moonsworth/lunar/forge/lib/guava/primitives/Chars.java	Chars	number,obj,text
101	com/moonsworth/lunar/forge/lib/InputStreamLoader.java	InputStreamLoader	field,flag,method,number,text
101	com/moonsworth/lunar/client/framework/feature/mod/MixinHelper2.java	MixinHelper2	arg,field,method,number,text
100	com/moonsworth/lunar/legacy/GuiListExtendedImpl2.java	GuiListExtendedImpl2	field,flag,method,number,value
100	com/moonsworth/lunar/forge/lib/guava/collect/ImmutableSetMultimap.java	ImmutableSetMultimap	arg,number,obj,value
100	com/moonsworth/lunar/forge/Ichor2Iterator.java	Ichor2Iterator	field,flag,method,text
100	com/moonsworth/lunar/client/mod/render/StarredMobHighlight.java	StarredMobHighlight	arg,field,method,number,obj,text
100	com/moonsworth/lunar/client/mod/misc/McDebugRenderer.java	McDebugRenderer	field,flag,method
100	com/moonsworth/lunar/client/inactive/mixin/colorsaturation/mixin/Colorsaturation.java	Colorsaturation	flag,method,obj,text,value
100	com/moonsworth/lunar/client/guiRewindhandlers/mixin/GuiRewindhandlers5.java	GuiRewindhandlers5	arg,field,method,number
100	com/moonsworth/lunar/client/framework/feature/mod/gui/Gui3.java	Gui3	field,method,number,text,value
100	com/moonsworth/lunar/bridge/Bridge8_2.java	Bridge8_2	flag,method,number,obj,text,value
99	com/moonsworth/lunar/forge/lib/MixinMisc2_2.java	MixinMisc2_2	field,method,number,text
99	com/moonsworth/lunar/forge/lib/MixinHelper4_2.java	MixinHelper4_2	field,method,number,text
99	com/moonsworth/lunar/forge/lib/InputStreamBase_10.java	InputStreamBase_10	field,flag,method,number
99	com/moonsworth/lunar/client/mod/misc/SoundChanger.java	SoundChanger	arg,field,method,text
99	com/moonsworth/lunar/client/mod/misc/SkyblockSeaCreatureMessages.java	SkyblockSeaCreatureMessages	field,method,obj,text
99	com/moonsworth/lunar/client/markers/mixin/gui/mixin/Gui19.java	Gui19	arg,method,text
99	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/Holograms2_2.java	Holograms2_2	field,flag,method,number,text,value
98	com/moonsworth/lunar/forge/lib/InputStreamBase_7.java	InputStreamBase_7	field,flag,method,number
98	com/moonsworth/lunar/config/Config$Data.java	Config$Data	field,flag,method,number,obj,text
98	com/moonsworth/lunar/client/util/lotusfish/mixin/Lotusfish2.java	Lotusfish2	field,flag,method,number
98	com/moonsworth/lunar/client/util/ThreadModuleDump37.java	ThreadModuleDump37	arg,field,method,number,obj
98	com/moonsworth/lunar/client/mod/misc/Quickplay.java	Quickplay	arg,field,flag,method,text
98	com/moonsworth/lunar/client/mod/hud/SkyblockDungeonBlessingHud.java	SkyblockDungeonBlessingHud	field,flag,method,number,text
98	com/moonsworth/lunar/client/framework/feature/screenshot/ScreenshotThread.java	ScreenshotThread	arg,field,method,number,text
98	com/moonsworth/lunar/client/framework/feature/mod/fishing/coordinates/Coordinates.java	Coordinates	field,method,number,value
97	com/moonsworth/lunar/genesis/MixinHelper6333.java	MixinHelper6333	field,method,obj,value
97	com/moonsworth/lunar/forge/lib/InputStreamLoader2_4.java	InputStreamLoader2_4	field,method,number
97	com/moonsworth/lunar/client/util/alert/GuiRewindhandlersHandler2.java	GuiRewindhandlersHandler2	arg,field,method,number,text
97	com/moonsworth/lunar/client/mod/movement/Freelook.java	Freelook	arg,field,method,value
97	com/moonsworth/lunar/client/mod/misc/SkyblockMetalDetectorDataGen.java	SkyblockMetalDetectorDataGen	field,flag,method,number,text
97	com/moonsworth/lunar/client/markers/mixin/gui/mixin/rewindhandlers/GuiExtension.java	GuiExtension	flag,method,text
97	com/moonsworth/lunar/client/lighting/nameplate/mixin/NameplateImpl2.java	NameplateImpl2	field,flag,method,number,obj,value
97	com/moonsworth/lunar/client/lighting/nameplate/mixin/NameplateImpl.java	NameplateImpl	field,flag,method,number,obj,value
97	com/moonsworth/lunar/client/framework/feature/waypoints/mixin/holograms/Gui2Loader.java	Gui2Loader	field,flag,method,number,text
97	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/rewindhandlersCore/RewindHandlers3Impl6.java	RewindHandlers3Impl6	field,method,number,value
96	com/moonsworth/lunar/replaymod/forge/v1_12/mixin/EventRegistrationsHandler.java	EventRegistrationsHandler	arg,field,flag,method,number
96	com/moonsworth/lunar/forge/lib/OutputStreamSerializer2_2.java	OutputStreamSerializer2_2	field,flag,method,number,text
96	com/moonsworth/lunar/forge/lib/MixinSharedImpl.java	MixinSharedImpl	field,method,number
96	com/moonsworth/lunar/client/mod/misc/SkyblockUltrasequencer.java	SkyblockUltrasequencer	field,flag,method
96	com/moonsworth/lunar/client/mod/hud/Cps.java	Cps	arg,field,flag,method,text,value
96	com/moonsworth/lunar/client/mod/combat/SkyblockDamageSplash.java	SkyblockDamageSplash	field,flag,method,number,obj,text
96	com/moonsworth/lunar/client/framework/feature/rewind/gui/Gui_2.java	Gui_2	field,flag,method,number,value
96	com/moonsworth/lunar/client/framework/feature/potioneffects/Potioneffects3Impl2.java	Potioneffects3Impl2	field,flag,method,text,value
96	com/moonsworth/lunar/client/framework/feature/mod/impl/chest/dungeon/dungeonwaypoints/DungeonwaypointsIterator.java	DungeonwaypointsIterator	flag,method,number,text,value
96	com/moonsworth/lunar/client/framework/feature/autotextactions/Lighting3Loader.java	Lighting3Loader	field,flag,method,text
96	com/moonsworth/lunar/bridge/Bridge6_9.java	Bridge6_9	field,flag,method,number,obj,text
95	com/moonsworth/lunar/legacy/mixin/GuiYesNoChoiceMixin.java	GuiYesNoChoiceMixin	arg,flag,method,number,text
95	com/moonsworth/lunar/forge/lib/guava/collect/Streams.java	Streams	flag,number,value,var
95	com/moonsworth/lunar/forge/lib/guava/collect/ImmutableListMultimap.java	ImmutableListMultimap	arg,number,obj,value
95	com/moonsworth/lunar/forge/lib/MixinMoreBase2.java	MixinMoreBase2	field,method,number
95	com/moonsworth/lunar/client/util/RandomImpl.java	RandomImpl	field,method,number,value
95	com/moonsworth/lunar/client/lightoverlay/Lightoverlay7.java	Lightoverlay7	arg,flag,method,number,obj,text
95	com/moonsworth/lunar/client/framework/feature/rewind/Fishing2Loader4.java	Fishing2Loader4	field,flag,method,number,value
94	com/moonsworth/lunar/legacy/mixin/EffectRendererParticleChangerMixin.java	EffectRendererParticleChangerMixin	method,number,value
94	com/moonsworth/lunar/legacy/mixin/AxisAlignedBBMixin.java	AxisAlignedBBMixin	number,obj,value
94	com/moonsworth/lunar/forge/lib/MixinHelper94.java	MixinHelper94	field,flag,method,number
94	com/moonsworth/lunar/forge/lib/CloseableLoader$Data12.java	CloseableLoader$Data12	field,method,number
94	com/moonsworth/lunar/forge/lib/AttributeLoader.java	AttributeLoader	field,method,number,text
94	com/moonsworth/lunar/client/util/click/Click3.java	Click3	field,method,number,value
94	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer3_2.java	Glintcolorizer3_2	field,flag,method,text
94	com/moonsworth/lunar/client/framework/feature/mod/fishing/gui/Gui2.java	Gui2	arg,field,method,number,text
93	com/moonsworth/lunar/forge/lib/MixinExtra10Loader.java	MixinExtra10Loader	field,method,number
93	com/moonsworth/lunar/client/inactive/Inactive.java	Inactive	field,flag,method,value
93	com/moonsworth/lunar/client/guiRewindhandlers/GuiRewindhandlersHandler29.java	GuiRewindhandlersHandler29	arg,field,flag,method,number,value
92	com/moonsworth/lunar/genesis/MixinHelper5$Data14.java	MixinHelper5$Data14	field,number,obj
92	com/moonsworth/lunar/genesis/MixinHelper142$Data2.java	MixinHelper142$Data2	field,number,obj,value
92	com/moonsworth/lunar/genesis/MixinHelper122$Data2.java	MixinHelper122$Data2	field,number,obj
92	com/moonsworth/lunar/client/mod/render/SkyblockMageBeam.java	SkyblockMageBeam	field,method,number
92	com/moonsworth/lunar/client/mod/render/SkyblockCroesusChests.java	SkyblockCroesusChests	field,method,text
92	com/moonsworth/lunar/client/mod/misc/SkyblockSeaCreatureAlert.java	SkyblockSeaCreatureAlert	field,flag,method,text
92	com/moonsworth/lunar/client/mod/hud/SkyblockQuiverHud.java	SkyblockQuiverHud	arg,field,flag,method,number,text
92	com/moonsworth/lunar/client/mod/hud/ShaderPackDisplay.java	ShaderPackDisplay	field,flag,method,number,text,value
92	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/rewindhandlersCore/RewindHandlers3Impl4.java	RewindHandlers3Impl4	field,method
91	com/moonsworth/lunar/legacy/mixin/GlStateManagerMixin.java	GlStateManagerMixin	field,method,number,value
91	com/moonsworth/lunar/client/mod/hud/SkyblockVisitorHud.java	SkyblockVisitorHud	field,flag,method,number,text
91	com/moonsworth/lunar/client/horsestats/mixin/Horsestats5.java	Horsestats5	field,method,text,value
91	com/moonsworth/lunar/client/holograms/Holograms8Handler.java	Holograms8Handler	field,flag,method,number,text,value
91	com/moonsworth/lunar/client/highlight/fishing/HighlightImpl16.java	HighlightImpl16	field,flag,method,value
91	com/moonsworth/lunar/client/framework/feature/rewind/Fishing2Loader32.java	Fishing2Loader32	field,flag,method,number,value
91	com/moonsworth/lunar/client/framework/feature/pkg/Pkg6.java	Pkg6	field,method,number,value
91	com/moonsworth/lunar/client/framework/feature/mod/holograms/fishing/GuiRewindhandlersHandler2.java	GuiRewindhandlersHandler2	field,method,text
91	com/moonsworth/lunar/client/framework/feature/mod/fishing/click/Click13.java	Click13	field
91	com/moonsworth/lunar/client/framework/feature/minimap/Minimap2Impl2.java	Minimap2Impl2	field,flag,method,number,text,value
91	com/moonsworth/lunar/client/feature/Module2.java	Module2	field,flag,method,number,obj,value
90	com/moonsworth/lunar/ichor/util/FatalIchorError13.java	FatalIchorError13	field,flag,method,number,text
90	com/moonsworth/lunar/genesis/SerializableUpdater.java	SerializableUpdater	arg,field,method,number,obj,value
90	com/moonsworth/lunar/client/util/ThreadModuleDump64.java	ThreadModuleDump64	field,method,value
90	com/moonsworth/lunar/client/mod/render/SkyblockDungeonColors.java	SkyblockDungeonColors	arg,field,flag,method,number
90	com/moonsworth/lunar/client/framework/feature/rewind/highlight/Highlight_4.java	Highlight_4	field,method,text
90	com/moonsworth/lunar/client/framework/feature/mod/holograms/ParentTHandler.java	ParentTHandler	arg,field,method,value
90	com/moonsworth/lunar/client/framework/feature/f3display/F3display2_2.java	F3display2_2	field,flag,method,text
90	com/moonsworth/lunar/bridge/Bridge_28.java	Bridge_28	method,number,value
